layer,expert
0,7
0,9
0,10
0,12
0,14
0,19
0,32
0,37
0,43
0,46
0,52
0,54
0,58
0,60
0,61
0,62
0,63
0,64
0,67
0,71
0,79
0,90
0,93
0,98
0,109
0,110
0,120
0,123
0,130
0,148
0,149
0,160
0,165
0,167
0,168
0,169
0,170
0,176
0,187
0,188
0,192
0,198
0,200
0,201
0,203
0,205
0,212
0,213
0,215
0,216
0,217
0,221
0,222
0,227
0,233
0,234
0,235
0,237
0,240
0,241
0,246
0,251
0,253
0,254
0,259
0,265
0,272
0,278
0,282
0,286
0,289
0,290
0,291
0,293
0,294
0,297
0,302
0,304
0,308
0,309
0,315
0,316
0,319
0,322
0,324
0,330
0,342
0,349
0,354
0,358
0,359
0,369
0,371
0,380
0,386
0,392
0,395
0,396
0,399
0,400
0,401
0,409
0,412
0,415
0,416
0,425
0,431
0,435
0,437
0,451
0,453
0,464
0,470
0,473
0,475
0,480
0,481
0,485
0,493
0,495
0,499
0,501
1,4
1,34
1,36
1,48
1,57
1,58
1,59
1,60
1,62
1,71
1,74
1,86
1,88
1,100
1,108
1,112
1,119
1,125
1,128
1,130
1,143
1,156
1,157
1,159
1,160
1,162
1,171
1,174
1,176
1,186
1,189
1,206
1,209
1,211
1,212
1,215
1,224
1,225
1,233
1,235
1,237
1,238
1,240
1,242
1,243
1,244
1,245
1,251
1,261
1,264
1,265
1,273
1,281
1,287
1,291
1,293
1,294
1,302
1,303
1,304
1,305
1,311
1,313
1,319
1,320
1,326
1,328
1,336
1,341
1,353
1,366
1,370
1,373
1,378
1,381
1,383
1,385
1,386
1,394
1,403
1,410
1,414
1,420
1,423
1,427
1,429
1,434
1,437
1,440
1,442
1,446
1,447
1,448
1,454
1,456
1,465
1,468
1,471
1,475
1,477
1,483
1,487
1,491
1,499
1,509
2,27
2,28
2,36
2,37
2,46
2,50
2,51
2,59
2,77
2,84
2,87
2,89
2,101
2,104
2,105
2,106
2,107
2,109
2,112
2,117
2,132
2,134
2,135
2,138
2,139
2,142
2,147
2,154
2,162
2,164
2,166
2,168
2,171
2,185
2,192
2,200
2,207
2,208
2,210
2,211
2,215
2,222
2,226
2,238
2,250
2,251
2,257
2,263
2,270
2,286
2,289
2,295
2,306
2,310
2,313
2,315
2,319
2,321
2,333
2,338
2,341
2,351
2,352
2,354
2,358
2,360
2,364
2,367
2,370
2,371
2,379
2,380
2,391
2,393
2,404
2,406
2,417
2,418
2,421
2,432
2,435
2,436
2,439
2,443
2,444
2,449
2,452
2,457
2,470
2,479
2,481
2,483
2,486
2,493
2,494
2,495
2,496
2,511
3,9
3,18
3,29
3,35
3,49
3,54
3,67
3,85
3,88
3,111
3,120
3,139
3,141
3,145
3,150
3,161
3,168
3,174
3,178
3,181
3,182
3,187
3,191
3,196
3,197
3,199
3,202
3,205
3,207
3,215
3,216
3,225
3,228
3,229
3,237
3,249
3,251
3,262
3,265
3,269
3,272
3,274
3,285
3,290
3,293
3,305
3,323
3,332
3,335
3,340
3,342
3,354
3,357
3,371
3,374
3,381
3,384
3,397
3,402
3,403
3,404
3,405
3,408
3,425
3,437
3,450
3,465
3,470
3,474
3,484
3,496
3,505
3,507
4,2
4,9
4,24
4,34
4,67
4,71
4,73
4,77
4,96
4,102
4,110
4,114
4,115
4,117
4,128
4,130
4,131
4,149
4,152
4,163
4,166
4,168
4,172
4,184
4,190
4,191
4,192
4,196
4,198
4,199
4,213
4,216
4,221
4,222
4,225
4,232
4,233
4,241
4,245
4,249
4,264
4,266
4,272
4,287
4,292
4,293
4,294
4,296
4,299
4,308
4,311
4,314
4,317
4,325
4,329
4,333
4,339
4,340
4,344
4,345
4,346
4,349
4,357
4,358
4,359
4,367
4,379
4,386
4,389
4,390
4,391
4,392
4,393
4,399
4,403
4,409
4,410
4,414
4,417
4,422
4,428
4,431
4,432
4,436
4,440
4,445
4,465
4,480
4,485
4,488
4,493
4,495
4,496
4,499
4,506
4,507
4,508
5,1
5,5
5,11
5,20
5,21
5,26
5,27
5,33
5,37
5,47
5,52
5,55
5,56
5,68
5,71
5,74
5,75
5,79
5,81
5,82
5,84
5,90
5,96
5,97
5,98
5,100
5,101
5,107
5,110
5,112
5,117
5,118
5,129
5,131
5,132
5,134
5,140
5,143
5,153
5,158
5,159
5,160
5,161
5,172
5,179
5,180
5,185
5,187
5,191
5,204
5,205
5,212
5,228
5,233
5,241
5,245
5,258
5,270
5,273
5,275
5,283
5,284
5,286
5,290
5,294
5,304
5,312
5,317
5,319
5,340
5,344
5,355
5,357
5,374
5,379
5,391
5,392
5,399
5,414
5,415
5,416
5,420
5,424
5,452
5,456
5,466
5,468
5,471
5,475
5,478
5,482
5,485
5,487
5,490
5,491
5,493
5,505
5,510
6,6
6,12
6,24
6,26
6,27
6,33
6,37
6,42
6,46
6,50
6,52
6,53
6,66
6,68
6,71
6,73
6,74
6,78
6,84
6,85
6,102
6,112
6,113
6,119
6,121
6,129
6,132
6,136
6,137
6,138
6,140
6,142
6,144
6,145
6,151
6,158
6,164
6,166
6,168
6,170
6,176
6,179
6,180
6,185
6,188
6,189
6,201
6,208
6,234
6,237
6,253
6,254
6,258
6,259
6,264
6,276
6,279
6,280
6,283
6,285
6,288
6,296
6,309
6,310
6,312
6,329
6,335
6,337
6,345
6,347
6,349
6,354
6,357
6,359
6,365
6,372
6,379
6,383
6,391
6,394
6,397
6,407
6,416
6,422
6,423
6,431
6,435
6,441
6,444
6,446
6,452
6,456
6,468
6,471
6,480
6,484
6,485
6,495
6,498
6,505
6,509
7,2
7,10
7,14
7,15
7,20
7,21
7,33
7,35
7,43
7,65
7,71
7,72
7,76
7,83
7,86
7,87
7,93
7,101
7,108
7,116
7,117
7,118
7,119
7,120
7,122
7,123
7,128
7,132
7,139
7,142
7,148
7,154
7,155
7,158
7,160
7,162
7,165
7,166
7,167
7,168
7,170
7,174
7,177
7,183
7,193
7,200
7,202
7,206
7,210
7,219
7,220
7,228
7,231
7,239
7,242
7,245
7,250
7,258
7,268
7,269
7,274
7,275
7,276
7,280
7,282
7,287
7,288
7,295
7,301
7,302
7,314
7,315
7,316
7,317
7,322
7,323
7,326
7,327
7,332
7,333
7,351
7,353
