"performance_evidence","cache_evidence","allocation_evidence","context","actual_context_tokens","n_ctx","pool_gib","cuda_graphs","warmup_tokens","measured_tokens","decode_tok_s","p50_ms","p95_ms","hit_rate","cpu_fallback_layers_per_token","cpu_fallback_experts_per_token","h2d_weight_mb_per_token","fixed_gpu_core_mib","expert_pool_packed_mib","cuda_model_buffer_mib","attention_kv_mib","indexer_kv_mib","kv_total_mib","recurrent_mib","workspace_mib","output_mib","allocator_accounted_mib","allocator_headroom_mib","observed_peak_vram_mib","observed_headroom_mib"
"Measured","Measured stats-only companion","Measured allocator logs","2K","2027","3072","4","True","100","100","16.4052896625","59.9333","72.6425","0.2865625","47.91","342.45","0","4459.62","4094.56","8741.41","72","27","99","112.57","1030.19","0.95","9984.12","6391.88",,
"Measured","Measured stats-only companion","Measured allocator logs","2K","2027","3072","6","True","100","100","17.1615576509","57.4899","72.3975","0.410520833333","47.42","282.95","0","4459.62","6142.94","10866.63","72","27","99","112.57","1030.19","0.95","12109.34","4266.66",,
"Measured","Measured stats-only companion","Measured allocator logs","2K","2027","3072","8","True","100","100","17.5112095381","54.7072","80.5681","0.5029375","46.41","238.59","0","4459.62","8191.33","13008.91","72","27","99","112.57","1030.19","0.95","14251.62","2124.38",,
"Measured","Measured stats-only companion","Measured allocator logs","8K","8171","9216","4","True","100","100","15.4618387055","62.9701","83.3026","0.284854166667","47.92","343.27","0","4459.62","4094.56","8741.41","216","81","297","112.57","1039.26","0.95","10191.19","6184.81",,
"Measured","Measured stats-only companion","Measured allocator logs","8K","8171","9216","6","True","100","100","15.985703921","60.3884","79.8556","0.4090625","47.38","283.65","0","4459.62","6142.94","10866.63","216","81","297","112.57","1039.26","0.95","12316.41","4059.59",,
"Measured","Measured stats-only companion","Measured allocator logs","8K","8171","9216","8","True","100","100","17.6261661141","54.7142","71.6388","0.501666666667","46.36","239.2","0","4459.62","8191.33","13008.91","216","81","297","112.57","1039.26","0.95","14458.69","1917.31",,
"Measured","Measured stats-only companion","Measured allocator logs","16K","16363","17408","4","True","100","100","15.0497433146","65.424","77.4791","0.285458333333","47.94","342.98","0","4459.62","4094.56","8741.41","408","153","561","112.57","1842.57","0.95","11258.5","5117.5",,
"Measured","Measured stats-only companion","Measured allocator logs","16K","16363","17408","6","True","100","100","15.0322766279","64.0738","85.0251","0.4105625","47.35","282.93","0","4459.62","6142.94","10866.63","408","153","561","112.57","1842.57","0.95","13383.72","2992.28",,
"Measured","Measured stats-only companion","Measured allocator logs","16K","16363","17408","8","True","100","100","16.6520980236","57.9398","75.8197","0.501333333333","46.18","239.36","0","4459.62","8191.33","13008.91","408","153","561","112.57","1842.57","0.95","15526","850","15990","386"
"Measured","Measured stats-only companion","Measured allocator logs","32K","32747","33792","4","True","100","100","13.619901509","72.1466","92.0541","0.2815","47.88","344.88","0","4459.62","4094.56","8741.41","792","297","1089","112.57","1858.57","0.95","11802.5","4573.5",,
"Measured","Measured stats-only companion","Measured allocator logs","32K","32747","33792","6","True","100","100","14.1039920052","69.403","89.2649","0.4058125","47.4","285.21","0","4459.62","6142.94","10866.63","792","297","1089","112.57","1858.57","0.95","13927.72","2448.28",,
"Measured","Measured stats-only companion","Measured allocator logs","32K","32747","33792","8","True","100","100","15.118491327","64.1781","80.0127","0.4985625","46.38","240.69","0","4459.62","8191.33","13008.91","792","297","1089","112.57","1858.57","0.95","16070","306",,
