"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.09","15","15275","16376","41.41"
"1.19","21","15275","16376","44.311"
"2.29","49","15413","16376","46.394"
"3.37","34","15413","16376","47.017"
"4.46","41","15413","16376","47.537"
"5.54","45","15413","16376","47.941"
"6.64","59","15413","16376","48.241"
"7.72","93","15415","16376","48.445"
"8.81","65","15415","16376","48.577"
"9.9","67","15415","16376","48.639"
"10.98","63","15415","16376","48.687"
"12.07","92","15415","16376","48.845"
"13.16","51","15415","16376","48.957"
"14.24","66","15415","16376","49.019"
"15.34","57","15415","16376","49.07"
"16.43","76","15415","16376","49.184"
"17.54","59","15415","16376","49.239"
"18.63","68","15415","16376","49.281"
"19.71","62","15415","16376","49.55"
"20.8","58","15415","16376","50.236"
"21.88","56","15415","16376","50.662"
"22.97","66","15415","16376","50.833"
"24.06","46","15415","16376","50.92"
"25.14","52","15415","16376","51.024"
"26.23","93","15415","16376","51.142"
"27.31","61","15415","16376","51.199"
"28.4","61","15415","16376","51.222"
"29.48","61","15415","16376","51.24"
"30.57","70","15415","16376","51.259"
"31.65","74","15415","16376","51.332"
"32.75","42","15415","16376","51.354"
"33.84","56","15415","16376","51.36"
"34.93","62","15415","16376","51.365"
"36","78","15415","16376","51.404"
"37.08","51","15415","16376","51.413"
"38.16","62","15415","16376","51.417"
"39.24","36","15415","16376","51.431"
"40.32","63","15415","16376","51.472"
"41.4","68","15415","16376","51.487"
"42.48","86","15415","16376","51.508"
"43.56","60","15415","16376","51.56"
"44.62","59","15415","16376","51.715"
"45.72","64","15415","16376","51.824"
"46.8","63","15415","16376","51.876"
"47.89","70","15415","16376","51.893"
"48.98","64","15415","16376","51.937"
"50.06","98","15415","16376","51.98"
"51.14","87","15415","16376","52.012"
"52.22","82","15415","16376","52.018"
"53.31","58","15415","16376","52.029"
"54.39","61","15415","16376","52.047"
"55.47","81","15415","16376","52.081"
"56.55","85","15415","16376","52.109"
"57.63","63","15415","16376","52.119"
"58.71","63","15415","16376","52.138"
"59.78","96","15415","16376","52.149"
"60.86","71","15415","16376","52.166"
"61.94","54","15415","16376","52.171"
"63.02","62","15415","16376","52.171"
"64.1","98","15415","16376","52.177"
"65.17","65","15415","16376","52.214"
"66.27","61","15415","16376","52.216"
"67.35","65","15415","16376","52.225"
"68.42","81","15415","16376","52.234"
"69.51","80","15415","16376","52.236"
"70.6","55","15415","16376","52.236"
"71.69","63","15415","16376","52.24"
"72.78","70","15415","16376","52.244"
"73.87","83","15415","16376","52.293"
"74.95","62","15415","16376","52.311"
"76.04","63","15415","16376","52.313"
"77.12","64","15415","16376","52.318"
"78.18","100","15415","16376","52.323"
"79.26","63","15415","16376","52.343"
"80.35","63","15415","16376","52.345"
"81.43","62","15415","16376","52.348"
"82.51","62","15415","16376","52.358"
"83.59","82","15415","16376","52.359"
"84.67","69","15415","16376","52.367"
"85.75","52","15415","16376","52.369"
"86.82","68","15415","16376","52.369"
"87.89","97","15415","16376","52.375"
"88.97","86","15415","16376","52.379"
"90.06","87","15415","16376","52.384"
"91.14","82","15415","16376","52.384"
"92.22","78","15415","16376","52.386"
"93.3","91","15415","16376","52.387"
"94.39","62","15415","16376","52.404"
"95.47","100","15415","16376","52.406"
"96.56","46","15415","16376","52.41"
"97.64","68","15415","16376","52.41"
"98.73","66","15415","16376","52.618"
"99.81","61","15415","16376","52.841"
"100.88","62","15415","16376","52.916"
"101.96","91","15415","16376","52.938"
"103.04","54","15415","16376","52.95"
"104.12","50","15415","16376","52.977"
"105.23","74","15415","16376","53.023"
"106.29","93","15415","16376","53.035"
"107.36","60","15415","16376","53.056"
"108.45","74","15415","16376","53.063"
"109.54","63","15415","16376","53.071"
"110.62","65","15415","16376","53.084"
"111.69","92","15415","16376","53.091"
"112.78","91","15415","16376","53.095"
"113.87","69","15415","16376","53.099"
"114.95","58","15415","16376","53.099"
"116.03","61","15415","16376","53.102"
"117.12","58","15415","16376","53.203"
"118.2","60","15415","16376","53.4"
"119.28","100","15415","16376","53.473"
"120.35","61","15415","16376","53.517"
"121.43","100","15415","16376","53.53"
"122.51","64","15415","16376","53.543"
"123.6","59","15415","16376","53.562"
"124.68","100","15415","16376","53.574"
"125.77","60","15415","16376","53.58"
"126.83","61","15415","16376","53.587"
"127.92","95","15415","16376","53.589"
"129","52","15415","16376","53.601"
"130.1","28","15415","16376","53.603"
"131.18","93","15415","16376","53.611"
"132.26","65","15415","16376","53.613"
"133.35","59","15415","16376","53.613"
"134.43","100","15415","16376","53.613"
