"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.09","20","14041","16376","44.902"
"1.19","22","14041","16376","47.588"
"2.29","93","14041","16376","48.049"
"3.37","49","14041","16376","48.524"
"4.46","63","14041","16376","48.834"
"5.54","60","14041","16376","49.001"
"6.62","73","14041","16376","49.111"
"7.71","86","14043","16376","49.231"
"8.8","65","14043","16376","49.363"
"9.88","62","14043","16376","49.439"
"10.97","71","14043","16376","49.512"
"12.04","48","14043","16376","49.72"
"13.12","61","14043","16376","50.28"
"14.22","64","14043","16376","50.724"
"15.3","53","14043","16376","50.93"
"16.39","67","14043","16376","51.039"
"17.48","52","14043","16376","51.154"
"18.58","58","14043","16376","51.344"
"19.64","86","14043","16376","51.418"
"20.73","65","14043","16376","51.551"
"21.8","61","14043","16376","51.586"
"22.89","51","14043","16376","51.62"
"23.98","67","14043","16376","51.659"
"25.06","87","14043","16376","51.69"
"26.14","66","14043","16376","51.76"
"27.21","68","14043","16376","51.783"
"28.29","92","14043","16376","51.798"
"29.36","63","14043","16376","51.823"
"30.45","88","14043","16376","51.841"
"31.54","79","14043","16376","51.877"
"32.63","58","14043","16376","51.89"
"33.72","68","14043","16376","51.903"
"34.8","83","14043","16376","51.96"
"35.89","67","14043","16376","52.112"
"36.97","65","14043","16376","52.198"
"38.06","77","14043","16376","52.252"
"39.15","61","14043","16376","52.277"
"40.24","64","14043","16376","52.287"
"41.34","69","14043","16376","52.341"
"42.43","82","14043","16376","52.392"
"43.5","68","14043","16376","52.459"
"44.59","69","14043","16376","52.486"
"45.68","70","14043","16376","52.504"
"46.77","60","14043","16376","52.53"
"47.85","90","14043","16376","52.55"
"48.94","64","14043","16376","52.586"
"50.02","61","14043","16376","52.61"
"51.11","55","14043","16376","52.615"
"52.18","62","14043","16376","52.627"
"53.28","69","14043","16376","52.647"
"54.37","96","14043","16376","52.659"
"55.46","95","14043","16376","52.672"
"56.54","62","14043","16376","52.677"
"57.63","69","14043","16376","52.681"
"58.72","64","14043","16376","52.676"
"59.81","100","14043","16376","52.69"
"60.9","68","14043","16376","52.708"
"62","61","14043","16376","52.714"
"63.09","48","14043","16376","52.716"
"64.17","63","14043","16376","52.723"
"65.25","70","14043","16376","52.73"
"66.32","95","14043","16376","52.777"
"67.4","93","14043","16376","52.799"
"68.47","66","14043","16376","52.799"
"69.56","67","14043","16376","52.812"
"70.65","64","14043","16376","52.82"
"71.72","100","14043","16376","52.829"
"72.8","68","14043","16376","52.851"
"73.89","63","14043","16376","52.861"
"74.98","64","14043","16376","52.866"
"76.07","66","14043","16376","52.868"
"77.16","100","14043","16376","52.872"
"78.23","100","14043","16376","52.873"
"79.31","99","14043","16376","52.877"
"80.4","100","14043","16376","52.88"
"81.47","61","14043","16376","52.88"
"82.57","87","14043","16376","52.884"
"83.66","74","14043","16376","52.882"
"84.73","80","14043","16376","53.06"
"85.82","82","14043","16376","53.252"
"86.9","81","14043","16376","53.336"
"87.99","66","14043","16376","53.383"
"89.08","63","14043","16376","53.399"
"90.17","68","14043","16376","53.426"
"91.26","65","14043","16376","53.444"
"92.33","84","14043","16376","53.473"
"93.4","83","14043","16376","53.49"
"94.49","100","14043","16376","53.511"
"95.59","64","14043","16376","53.533"
"96.67","61","14043","16376","53.533"
"97.76","84","14043","16376","53.54"
"98.85","66","14043","16376","53.548"
"99.94","100","14043","16376","53.561"
"101.02","87","14043","16376","53.563"
"102.1","75","14043","16376","53.568"
"103.18","100","14043","16376","53.574"
"104.25","68","14043","16376","53.574"
"105.35","57","14043","16376","53.574"
"106.45","56","14043","16376","53.571"
"107.52","62","14043","16376","53.733"
"108.61","58","14043","16376","53.884"
"109.7","64","14043","16376","53.968"
"110.79","100","14043","16376","54.029"
"111.86","69","14043","16376","54.036"
"112.95","65","14043","16376","54.04"
"114.03","67","14043","16376","54.071"
"115.09","60","14043","16376","54.106"
"116.16","91","14043","16376","54.11"
"117.25","78","14043","16376","54.114"
"118.33","68","14043","16376","54.121"
"119.41","66","14043","16376","54.123"
"120.48","100","14043","16376","54.123"
"121.57","70","14043","16376","54.125"
"122.64","100","14043","16376","54.122"
"123.73","100","14043","16376","54.13"
"124.81","100","14043","16376","54.134"
"125.9","66","14043","16376","54.134"
"126.99","100","14043","16376","54.134"
"128.09","56","14043","16376","54.134"
"129.18","74","14043","16376","54.134"
"130.25","44","14043","16376","54.135"
"131.32","88","14043","16376","54.135"
"132.4","70","14043","16376","54.144"
"133.48","100","14043","16376","54.144"
"134.56","53","14043","16376","54.144"
"135.64","65","14043","16376","54.144"
"136.73","100","14043","16376","54.144"
"137.82","29","14043","16376","54.147"
"138.88","89","14043","16376","54.15"
"139.97","91","14043","16376","54.153"
"141.04","93","14043","16376","54.156"
"142.12","100","14043","16376","54.156"
"143.19","63","14043","16376","54.156"
"144.27","90","14043","16376","54.156"
"145.35","14","14043","16376","54.171"
"146.43","63","14043","16376","54.226"
"147.51","87","14043","16376","54.269"
"148.59","100","14043","16376","54.303"
"149.68","69","14043","16376","54.32"
"150.75","68","14043","16376","54.321"
"151.83","65","14043","16376","54.327"
"152.91","58","14043","16376","54.332"
"153.99","70","14043","16376","54.34"
"155.07","100","14043","16376","54.348"
"156.14","100","14043","16376","54.366"
"157.23","66","14043","16376","54.37"
"158.32","100","14043","16376","54.379"
"159.41","68","14043","16376","54.379"
"160.48","77","14043","16376","54.379"
"161.57","100","14043","16376","54.389"
"162.64","58","14043","16376","54.394"
"163.73","95","14043","16376","54.395"
"164.81","88","14043","16376","54.395"
"165.88","71","14043","16376","54.4"
"166.97","56","14043","16376","54.401"
"168.04","47","14043","16376","54.401"
"169.13","100","14043","16376","54.401"
"170.21","99","14043","16376","54.401"
"171.3","74","14043","16376","54.395"
"172.37","100","14043","16376","54.404"
"173.44","100","14043","16376","54.406"
"174.51","74","14043","16376","54.408"
"175.6","100","14043","16376","54.408"
"176.68","51","14043","16376","54.408"
"177.75","52","14043","16376","54.408"
"178.84","65","14043","16376","54.408"
"179.92","66","14043","16376","54.431"
"181.01","100","14043","16376","54.489"
"182.09","61","14043","16376","54.55"
"183.17","65","14043","16376","54.565"
"184.25","78","14043","16376","54.584"
"185.34","100","14043","16376","54.589"
"186.43","63","14043","16376","54.589"
"187.51","47","14043","16376","54.604"
"188.58","58","14043","16376","54.612"
"189.7","62","14043","16376","54.636"
"190.78","100","14043","16376","54.637"
"191.86","94","14043","16376","54.637"
"192.94","100","14043","16376","54.637"
"194.02","64","14043","16376","54.639"
"195.09","62","14043","16376","54.639"
"196.15","84","14043","16376","54.639"
"197.24","100","14043","16376","54.641"
"198.31","68","14043","16376","54.646"
"199.39","96","14043","16376","54.647"
"200.48","100","14043","16376","54.647"
"201.54","79","14043","16376","54.654"
"202.64","100","14043","16376","54.654"
"203.72","65","14043","16376","54.654"
"204.78","64","14043","16376","54.654"
"205.85","57","14043","16376","54.654"
"206.93","70","14043","16376","54.654"
"208.01","55","14043","16376","54.687"
"209.1","100","14043","16376","54.744"
"210.19","81","14043","16376","54.811"
"211.26","66","14043","16376","54.837"
"212.33","69","14043","16376","54.844"
"213.42","100","14043","16376","54.848"
"214.5","100","14043","16376","54.85"
"215.59","95","14043","16376","54.854"
"216.68","75","14043","16376","54.857"
"217.77","52","14043","16376","54.876"
"218.86","19","14043","16376","54.967"
"219.94","56","14043","16376","55.151"
"221.03","100","14043","16376","55.254"
"222.1","54","14043","16376","55.3"
"223.19","100","14043","16376","55.308"
"224.28","66","14043","16376","55.314"
"225.36","61","14043","16376","55.314"
"226.44","60","14043","16376","55.321"
"227.51","0","14043","16376","55.351"
"228.6","3","14043","16376","55.364"
"229.73","6","14067","16376","55.389"
"230.83","41","14075","16376","55.618"
"231.93","36","14075","16376","55.749"
"233.03","34","14075","16376","55.905"
"234.15","36","14075","16376","56.068"
"235.25","39","14075","16376","56.181"
"236.36","38","14075","16376","56.286"
"237.45","40","14075","16376","56.371"
"238.57","32","14075","16376","56.486"
"239.69","32","14075","16376","56.561"
"240.81","30","14075","16376","56.603"
"241.91","35","14075","16376","56.675"
"243.02","34","14075","16376","56.727"
"244.13","40","14075","16376","56.793"
"245.22","34","6251","16376","55.162"
"246.28","0","13739","16376","56.788"
"247.37","0","13739","16376","56.827"
"248.44","0","13739","16376","56.83"
"249.53","87","13743","16376","56.805"
"250.64","33","13743","16376","56.81"
"251.74","31","13743","16376","56.81"
