"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.209","2.81","0.205","0","206","16376"
"0.503","2.82","0.357","16","423","16376"
"0.783","2.44","0.358","16","423","16376"
"1.052","3.09","0.358","0","423","16376"
"1.319","2.93","0.358","0","423","16376"
"1.604","2.91","0.358","0","423","16376"
"1.874","3.07","0.358","0","423","16376"
"2.144","3.26","0.358","0","423","16376"
"2.411","2.93","0.358","0","423","16376"
"2.695","2.93","0.358","0","423","16376"
"2.962","2.92","0.358","0","423","16376"
"3.229","3.11","0.358","0","423","16376"
"3.498","3.09","0.358","0","423","16376"
"3.767","2.9","0.358","0","423","16376"
"4.049","3.11","0.358","0","423","16376"
"4.314","2.58","0.358","0","423","16376"
"4.583","3.27","0.358","0","423","16376"
"4.85","2.93","0.358","0","423","16376"
"5.117","2.92","0.358","0","423","16376"
"5.382","3.14","0.47","0","11291","16376"
"5.645","2.97","1.288","80","11291","16376"
"5.914","3.09","2.101","80","11291","16376"
"6.184","3.08","2.919","14","11291","16376"
"6.452","2.92","3.746","15","11291","16376"
"6.719","2.92","4.558","15","11291","16376"
"6.989","3.08","5.221","12","11291","16376"
"7.256","3.1","5.827","12","11291","16376"
"7.525","2.9","6.466","12","11291","16376"
"7.793","3.1","7.033","12","11291","16376"
"8.062","3.09","7.514","31","11291","16376"
"8.329","3.1","7.982","31","11291","16376"
"8.597","2.37","8.435","32","11291","16376"
"8.864","3.11","8.864","32","11291","16376"
"9.132","3.09","9.292","29","11291","16376"
"9.4","3.11","9.749","29","11291","16376"
"9.683","2.93","10.172","30","11291","16376"
"9.951","3.1","10.597","28","11291","16376"
"10.221","3.25","10.987","28","11291","16376"
"10.485","2.77","11.113","99","15629","16376"
"10.764","3.15","11.115","99","15675","16376"
"11.032","2.91","11.117","0","15675","16376"
"11.299","2.75","11.119","0","15675","16376"
"11.564","2.95","11.121","0","15675","16376"
"11.834","3.25","11.123","0","15675","16376"
"12.101","3.11","11.249","0","15675","16376"
"12.369","3.1","11.249","0","15675","16376"
"12.634","3.13","11.249","14","15675","16376"
"12.898","3.15","11.249","14","15675","16376"
"13.166","3.1","11.25","17","15675","16376"
"13.434","3.09","11.253","17","15675","16376"
"13.703","3.09","11.255","0","15675","16376"
"13.971","3.27","11.257","0","15675","16376"
"14.24","2.91","11.259","0","15675","16376"
"14.51","2.9","11.261","0","15675","16376"
"14.795","2.91","11.261","0","15675","16376"
"15.078","29.83","11.515","42","15707","16376"
"15.36","74.09","11.971","42","15707","16376"
"15.642","72.86","12.311","76","15727","16376"
"15.928","78.06","13.16","25","15745","16376"
"16.229","73.49","13.635","25","15745","16376"
"16.515","73.06","13.876","30","15745","16376"
"16.815","76.85","14.11","30","15745","16376"
"17.097","74.14","14.451","23","13341","16376"
"17.396","28.14","12.61","23","425","16376"
"17.663","3.1","10.407","0","425","16376"
"17.929","3.12","8.186","0","425","16376"
"18.196","3.11","5.968","0","425","16376"
"18.464","3.1","3.744","0","425","16376"
"18.732","3.1","1.522","0","425","16376"
"18.999","3.11","0","0","204","16376"
