"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"1.055","2.83","0.356","9","814","16376"
"2.16","3","0.356","9","814","16376"
"3.228","3.02","0.356","9","814","16376"
"4.297","3.01","0.356","9","814","16376"
"5.368","3.01","2.098","46","9538","16376"
"6.43","2.99","5.449","25","9538","16376"
"7.491","3.08","8.133","20","9538","16376"
"8.561","3.06","8.99","9","13540","16376"
"9.627","3.02","8.999","9","13539","16376"
"10.697","3.1","9.007","9","13539","16376"
"11.763","2.93","9.144","22","13539","16376"
"12.823","3.04","9.151","9","13539","16376"
"13.889","3.07","9.159","9","13539","16376"
"14.955","3.02","9.167","10","13539","16376"
"16.02","58.24","11.284","30","13611","16376"
"17.104","74.36","12.293","42","13611","16376"
"18.181","44.37","7.365","9","861","16376"
"19.241","2.53","0","9","575","16376"
