"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.511","2.96","0.357","1","459","16376"
"1.101","2.56","0.358","0","459","16376"
"1.673","2.99","0.358","0","459","16376"
"2.237","2.94","0.358","0","459","16376"
"2.804","3.1","0.358","0","459","16376"
"3.37","3.11","0.358","0","459","16376"
"3.934","3.03","0.358","0","459","16376"
"4.495","3.13","0.358","0","459","16376"
"5.075","3.03","0.358","0","459","16376"
"5.64","3.11","1.077","68","13469","16376"
"6.251","3.11","2.764","15","13469","16376"
"6.813","3.04","4.451","15","13469","16376"
"7.384","2.39","5.505","11","13469","16376"
"7.948","3.03","6.669","11","13469","16376"
"8.515","3.1","7.655","31","13469","16376"
"9.086","3.08","8.557","29","13469","16376"
"9.658","2.82","9.478","27","13469","16376"
"10.243","3.09","10.393","29","13469","16376"
"10.831","2.82","11.302","29","13469","16376"
"11.399","3.09","12.19","28","13469","16376"
"11.973","3.06","13.086","27","13469","16376"
"12.562","2.9","13.167","0","14671","16376"
"13.153","2.97","13.169","49","14671","16376"
"13.717","26.41","13.699","58","14701","16376"
"14.326","73.24","14.785","43","14739","16376"
"14.918","74.44","15.813","52","14739","16376"
"15.526","73.91","17.036","23","14739","16376"
"16.122","53.24","15.511","1","525","16376"
"16.698","3.14","10.725","0","525","16376"
"17.257","3.05","6.121","0","525","16376"
"17.833","3.14","1.403","0","525","16376"
"18.406","1.36","0","0","239","16376"
