"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.513","3.04","0.357","14","459","16376"
"1.079","2.68","0.358","0","459","16376"
"1.646","3.01","0.358","0","459","16376"
"2.217","3.08","0.358","0","459","16376"
"2.784","3.1","0.358","0","459","16376"
"3.353","3.09","0.358","0","459","16376"
"3.922","3.09","0.358","0","459","16376"
"4.489","3.1","0.358","0","459","16376"
"5.057","2.92","0.358","0","459","16376"
"5.624","2.93","1.257","97","13469","16376"
"6.192","3.09","3.012","15","13469","16376"
"6.76","3.18","4.763","15","13469","16376"
"7.326","3.11","6.07","10","13469","16376"
"7.893","3.1","7.446","12","13469","16376"
"8.459","3.1","8.516","33","13469","16376"
"9.026","3.19","9.471","28","13469","16376"
"9.595","3.09","10.401","31","13469","16376"
"10.163","3.09","11.322","30","13469","16376"
"10.732","3","12.26","32","13469","16376"
"11.297","3.11","13.084","28","13781","16376"
"11.864","3.1","13.154","36","14075","16376"
"12.433","10.31","13.479","18","14105","16376"
"13.016","73.75","14.67","53","14131","16376"
"13.599","73.29","16.063","59","14143","16376"
"14.192","73.06","17.086","32","14143","16376"
"14.8","50.28","15.273","40","525","16376"
"15.362","3.13","10.745","0","525","16376"
"15.933","3.08","6.035","0","525","16376"
"16.501","3.01","1.348","0","525","16376"
"17.064","1.47","0","0","239","16376"
