"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.21","2.56","0.2","0","207","16376"
"0.478","2.36","0.349","0","424","16376"
"0.745","2.02","0.358","0","424","16376"
"1.014","2.89","0.358","0","424","16376"
"1.283","3.1","0.358","0","424","16376"
"1.553","3.07","0.358","0","424","16376"
"1.821","3.1","0.358","0","424","16376"
"2.091","3.26","0.358","0","424","16376"
"2.36","3.09","0.358","0","424","16376"
"2.627","3.1","0.358","0","424","16376"
"2.897","3.08","0.358","0","424","16376"
"3.164","3.1","0.358","0","424","16376"
"3.431","3.11","0.358","0","424","16376"
"3.7","3.09","0.358","0","424","16376"
"3.97","3.07","0.358","0","424","16376"
"4.238","2.91","0.358","0","424","16376"
"4.506","3.09","0.358","0","424","16376"
"4.775","3.09","0.358","0","424","16376"
"5.042","3.1","0.358","0","424","16376"
"5.31","2.73","0.359","0","9064","16376"
"5.607","3.13","0.977","15","13434","16376"
"5.872","2.76","1.785","15","13434","16376"
"6.137","3.12","2.595","15","13434","16376"
"6.402","2.95","3.435","15","13434","16376"
"6.684","3.12","4.239","15","13434","16376"
"6.951","3.11","4.966","15","13434","16376"
"7.22","3.09","5.588","12","13434","16376"
"7.487","3.11","6.194","12","13434","16376"
"7.754","2.92","6.833","12","13434","16376"
"8.02","3.13","7.452","12","13434","16376"
"8.288","3.09","7.973","12","13434","16376"
"8.555","3.12","8.423","12","13434","16376"
"8.821","2.75","8.882","31","13434","16376"
"9.087","3.13","9.316","31","13434","16376"
"9.349","2.98","9.737","28","13434","16376"
"9.616","3.11","10.176","30","13434","16376"
"9.883","3.11","10.599","30","13434","16376"
"10.149","3.12","11.024","28","13434","16376"
"10.412","3.15","11.433","28","13434","16376"
"10.677","2.96","11.859","29","13434","16376"
"10.944","3.1","12.286","29","13434","16376"
"11.211","2.92","12.718","29","13434","16376"
"11.48","2.91","13.084","29","13866","16376"
"11.763","2.59","13.141","47","14286","16376"
"12.031","3.09","13.143","47","14286","16376"
"12.302","3.07","13.163","0","14286","16376"
"12.569","2.74","13.163","0","14286","16376"
"12.854","3.08","13.165","42","14286","16376"
"13.123","3.27","13.168","0","14286","16376"
"13.389","3.12","13.202","0","14316","16376"
"13.659","55.34","13.748","74","14316","16376"
"13.956","73.89","15.027","74","14354","16376"
"14.255","73.73","16.005","20","14354","16376"
"14.555","73.13","16.641","20","14354","16376"
"14.855","76.96","17.026","27","14354","16376"
"15.155","73.84","17.115","19","490","16376"
"15.437","14.03","14.867","19","490","16376"
"15.705","2.92","12.581","0","490","16376"
"15.974","3.08","10.347","0","490","16376"
"16.242","2.91","8.057","0","490","16376"
"16.512","3.25","5.795","0","490","16376"
"16.779","3.1","3.523","0","490","16376"
"17.046","3.12","1.291","0","490","16376"
"17.315","2.72","0","0","204","16376"
