evidence_source,context_label,n_ctx,state_tokens,kv_profile,cache_type_k,cache_type_v,expert_pool_gib,promote_threshold,forced_input_tokens,cuda_graphs,n_batch,n_ubatch,verify_tokens,warmup_tokens,measured_tokens,model_load_ms,context_init_ms,state_load_ms,last_token_replay_ms,warmup_ms,decode_ms,decode_ms_per_token,decode_tok_s,decode_p50_ms,decode_p95_ms,first_token,resource_samples,peak_gpu_mem_used_mib,gpu_mem_total_mib,min_gpu_headroom_mib,source_path,resource_path
Measured,32k,32768,31723,f16-f16,f16,f16,8,-1,True,True,2048,16,1,50,200,11106.5519,93.9122,1234.366,487.1765,4196.6261,12988.8953,64.9444765,15.3977682767,63.6179,79.7735,7059,,,,,32k/decode-8g-u16/f16-f16/decode.json,
Measured,32k,32768,31723,q4-q4,q4_0,q4_0,8,-1,True,True,2048,16,1,50,200,11092.6063,53.6709,869.1739,458.3341,4373.8524,13075.2378,65.376189,15.296088917,64.3937,81.9485,7059,,,,,32k/decode-8g-u16/q4-q4/decode.json,
Measured,32k,32768,31723,q8-q4,q8_0,q4_0,8,-1,True,True,2048,16,1,50,200,11054.7409,58.661,950.0457,494.3336,4405.0932,13244.5326,66.222663,15.1005706309,64.8174,81.3167,7059,,,,,32k/decode-8g-u16/q8-q4/decode.json,
Measured,32k,32768,31723,q8-q8,q8_0,q8_0,8,-1,True,True,2048,16,1,50,200,11041.2008,68.3906,1004.9565,457.7123,4376.739,12980.3216,64.901608,15.407938737,63.7734,78.9131,7059,,,,,32k/decode-8g-u16/q8-q8/decode.json,
Measured,64k,65536,64491,f16-f16,f16,f16,6,-1,True,True,2048,16,1,50,200,9575.7977,93.4576,2165.1373,224.8268,5805.1937,17150.7208,85.753604,11.6613174649,85.2595,103.8606,7059,,,,,64k/decode-safe-u16/f16-f16-pool6g-run-1.json,64k/decode-safe-u16/f16-f16-pool6g-run-1.resources.csv
Measured,64k,65536,64491,q4-q4,q4_0,q4_0,8,-1,True,True,2048,16,1,50,200,11345.4845,79.692,1737.7886,396.9628,5168.4809,18364.9387,91.8246935,10.8903167752,90.5778,110.0833,7059,,,,,64k/decode-safe-u16/q4-q4-pool8g-run-1.json,64k/decode-safe-u16/q4-q4-pool8g-run-1.resources.csv
Measured,64k,65536,64491,q8-q4,q8_0,q4_0,8,-1,True,True,2048,16,1,50,200,11405.804,97.5442,1854.4293,466.354,5698.0873,17938.6966,89.693483,11.1490820353,89.5619,107.7842,7059,,,,,64k/decode-safe-u16/q8-q4-pool8g-run-1.json,64k/decode-safe-u16/q8-q4-pool8g-run-1.resources.csv
Measured,64k,65536,64491,q8-q8,q8_0,q8_0,8,-1,True,True,2048,16,1,50,200,10436.5723,70.8768,1770.0246,214.8449,5084.5813,18069.182,90.34591,11.0685696785,89.7252,110.0855,7059,,,,,64k/decode-safe-u16/q8-q8-pool8g-run-1.json,64k/decode-safe-u16/q8-q8-pool8g-run-1.resources.csv
Measured,128k,131072,130027,f16-f16,f16,f16,6,-1,True,True,2048,16,1,50,200,10043.8698,291.1681,4408.1549,414.941,6283.3161,22261.5323,111.3076615,8.98410753154,111.3973,127.832,7059,,,,,128k/decode-safe-u16/f16-f16-pool6g-run-1.json,128k/decode-safe-u16/f16-f16-pool6g-run-1.resources.csv
Measured,128k,131072,130027,q4-q4,q4_0,q4_0,8,-1,True,True,2048,16,1,50,200,11465.9116,122.3047,3488.2907,431.6729,6130.0979,22031.537,110.157685,9.0778959271,110.0196,126.4052,7059,,,,,128k/decode-safe-u16/q4-q4-pool8g-run-1.json,128k/decode-safe-u16/q4-q4-pool8g-run-1.resources.csv
Measured,128k,131072,130027,q8-q4,q8_0,q4_0,8,-1,True,True,2048,16,1,50,200,11236.0646,149.7243,3722.6892,373.0183,6122.5917,22103.534,110.51767,9.04832684221,110.2356,128.4232,7059,,,,,128k/decode-safe-u16/q8-q4-pool8g-run-1.json,128k/decode-safe-u16/q8-q4-pool8g-run-1.resources.csv
Measured,192k,196608,195563,q4-q4,q4_0,q4_0,8,-1,True,True,2048,16,1,50,200,11098.5083,146.913,5471.4339,450.4336,7285.1978,26061.9094,130.309547,7.67403481189,130.76,150.0232,7059,,,,,192k/decode-adaptive-u16/q4-q4-pool8g-run-1.json,192k/decode-adaptive-u16/q4-q4-pool8g-run-1.resources.csv
Measured,192k,196608,195563,q8-q4,q8_0,q4_0,6,-1,True,True,2048,16,1,50,200,9970.8741,185.3198,5571.0609,413.462,7710.6081,26495.8638,132.479319,7.54834798026,131.1373,153.203,7059,,,,,192k/decode-adaptive-u16/q8-q4-pool6g-run-1.json,192k/decode-adaptive-u16/q8-q4-pool6g-run-1.resources.csv
Measured,262k,262144,261099,q4-q4,q4_0,q4_0,6,-1,True,True,2048,16,1,50,200,7872.7503,110.8082,6739.2889,269.3371,9538.082,35404.7613,177.0238065,5.64895772931,176.2645,200.6983,7059,,,,,262k/decode-adaptive-u16/q4-q4-pool6g-run-1.json,262k/decode-adaptive-u16/q4-q4-pool6g-run-1.resources.csv
Measured,262k,262144,261099,q8-q4,q8_0,q4_0,4,-1,True,True,2048,16,1,50,200,7937.3932,132.2305,7154.1975,271.6666,9555.9517,34626.6425,173.1332125,5.77589929489,170.6842,197.1788,7059,,,,,262k/decode-adaptive-u16/q8-q4-pool4g-run-1.json,262k/decode-adaptive-u16/q8-q4-pool4g-run-1.resources.csv
Measured,262k,262144,261099,q8-q4,q8_0,q4_0,6,-1,True,True,2048,16,1,50,200,7828.9826,131.042,7529.4673,108718.0613,506143.1537,281618.5379,1408.0926895,0.71018052111,491.8554,7477.7422,7059,,,,,262k/decode-adaptive-u16/q8-q4-pool6g-run-1.json,262k/decode-adaptive-u16/q8-q4-pool6g-run-1.resources.csv
