evidence_source,record_type,context_label,n_ctx,prompt_or_state_tokens,mode,run_purpose,kv_profile,cache_type_k,cache_type_v,expert_pool_gib,n_batch,n_ubatch,cuda_model_buffer_mib,cuda_kv_buffer_mib,cuda_recurrent_state_mib,cuda_kv_and_recurrent_mib,cuda_compute_buffer_mib,cuda_host_compute_buffer_mib,resource_samples,baseline_gpu_mem_used_mib,peak_gpu_mem_used_mib,peak_incremental_gpu_mem_mib,gpu_mem_total_mib,min_gpu_headroom_mib,peak_working_set_gib,peak_cpu_percent,peak_gpu_util_percent,source_path,resource_path,stderr_path
Measured,capacity_probe_allocation,32k,32768,2,cold-only,capacity-probes/f16-f16,f16-f16,f16,f16,,1,1,4459.62,1056.0,112.57,1168.57,24.76,0.66,,,,,,,,,,32k/capacity-probes/f16-f16/probe.json,,32k/capacity-probes/f16-f16/probe.stderr.log
Measured,resource_sample,32k,32768,31723,hybrid-fixed-cache,vram-8g-u16/f16-f16,f16-f16,f16,f16,8,2048,16,13008.91,1056.0,112.57,1168.57,30.6,4.92,32,239.0,14739.0,14500.0,16376.0,1637.0,17.036,74.44,68.0,32k/vram-8g-u16/f16-f16/f16-f16-run-1.json,32k/vram-8g-u16/f16-f16/f16-f16-run-1.resources.csv,32k/vram-8g-u16/f16-f16/f16-f16-run-1.stderr.log
Measured,roundtrip_allocation,32k,32768,31723,roundtrip,kv-roundtrip/f16-f16,f16-f16,f16,f16,,8192,8192,4459.62,1056.0,112.57,1168.57,8160.0,929.25,,,,,,,,,,32k/kv-roundtrip/f16-f16/roundtrip.json,,32k/kv-roundtrip/f16-f16/roundtrip.stderr.log
Measured,capacity_probe_allocation,32k,32768,2,cold-only,capacity-probes/q4-q4,q4-q4,q4_0,q4_0,,1,1,4459.62,297.01,112.57,409.58,25.04,0.93,,,,,,,,,,32k/capacity-probes/q4-q4/probe.json,,32k/capacity-probes/q4-q4/probe.stderr.log
Measured,resource_sample,32k,32768,31723,hybrid-fixed-cache,vram-8g-u16/q4-q4,q4-q4,q4_0,q4_0,8,2048,16,13008.91,297.01,112.57,409.58,73.47,5.19,30,239.0,14023.0,13784.0,16376.0,2353.0,16.944,74.76,59.0,32k/vram-8g-u16/q4-q4/q4-q4-run-1.json,32k/vram-8g-u16/q4-q4/q4-q4-run-1.resources.csv,32k/vram-8g-u16/q4-q4/q4-q4-run-1.stderr.log
Measured,roundtrip_allocation,32k,32768,31723,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,8192,8192,4459.62,297.01,112.57,409.58,8160.0,929.52,,,,,,,,,,32k/kv-roundtrip/q4-q4/roundtrip.json,,32k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,32k,32768,2,cold-only,capacity-probes/q8-q4,q8-q4,q8_0,q4_0,,1,1,4459.62,417.01,112.57,529.5799999999999,25.04,0.93,,,,,,,,,,32k/capacity-probes/q8-q4/probe.json,,32k/capacity-probes/q8-q4/probe.stderr.log
Measured,resource_sample,32k,32768,31723,hybrid-fixed-cache,vram-8g-u16/q8-q4,q8-q4,q8_0,q4_0,8,2048,16,13008.91,417.01,112.57,529.5799999999999,73.47,5.19,30,239.0,14143.0,13904.0,16376.0,2233.0,17.086,73.75,97.0,32k/vram-8g-u16/q8-q4/q8-q4-run-1.json,32k/vram-8g-u16/q8-q4/q8-q4-run-1.resources.csv,32k/vram-8g-u16/q8-q4/q8-q4-run-1.stderr.log
Measured,roundtrip_allocation,32k,32768,31723,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,8192,8192,4459.62,417.01,112.57,529.5799999999999,8160.0,929.52,,,,,,,,,,32k/kv-roundtrip/q8-q4/roundtrip.json,,32k/kv-roundtrip/q8-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,32k,32768,2,cold-only,capacity-probes/q8-q8,q8-q8,q8_0,q8_0,,1,1,4459.62,561.01,112.57,673.5799999999999,25.04,0.93,,,,,,,,,,32k/capacity-probes/q8-q8/probe.json,,32k/capacity-probes/q8-q8/probe.stderr.log
