evidence_source,context_label,n_ctx,prompt_tokens,kv_profile,cache_type_k,cache_type_v,n_batch,n_ubatch,cold_prefill_ms_excluding_save,cold_prefill_tok_s,cache_file_bytes,cache_file_gib,cache_save_ms,cache_load_ms,last_token_replay_ms,restored_sampling_ms,warm_restore_to_first_token_ms,fresh_process_model_plus_context_plus_restore_ms,full_roundtrip_process_ms,measured_decode_tokens,restored_decode_ms,restored_decode_tok_s,restored_decode_p50_ms,restored_decode_p95_ms,prompt_tokens_equal,first_token_equal,generated_tokens_equal,logits_rmse,logits_max_abs,logits_cosine,cold_first_token,warm_first_token,verify_token_count,source_path
Measured,32k,32768,31723,f16-f16,f16,f16,8192,8192,50997.0596,622.05547239,1191639428,1.1098007000982761,1947.9702,1106.3018,78.9206,2.212,1187.4344,7849.1177,62490.2272,1,59.3704,16.8434101842,59.3701,59.3701,True,True,True,0,0,1,1865,1865,8,32k/kv-roundtrip/f16-f16/roundtrip.json
Measured,32k,32768,31723,q4-q4,q4_0,q4_0,8192,8192,51429.7385,616.822113533,421175492,0.3922502435743809,534.0942,856.5573,83.6787,2.1816,942.4176,7514.7095,60926.6957,1,66.6338,15.0073986475,66.6334,66.6334,True,True,True,0,0,1,1865,1865,8,32k/kv-roundtrip/q4-q4/roundtrip.json
Measured,32k,32768,31723,q8-q4,q8_0,q4_0,8192,8192,51062.8833,621.253598502,542987972,0.5056969560682774,591.0224,890.8988,85.0088,2.1354,978.043,7542.8073,60670.6091,1,60.9762,16.3998412495,60.9758,60.9758,True,True,True,0,0,1,1865,1865,8,32k/kv-roundtrip/q8-q4/roundtrip.json
Measured,32k,32768,31723,q8-q8,q8_0,q8_0,8192,8192,51662.6576,614.041194815,689162948,0.6418330110609531,657.217,966.8217,83.5308,2.2929,1052.6454,7685.7885,61516.0335,1,60.7051,16.4730805155,60.7047,60.7047,True,True,True,0,0,1,1865,1865,8,32k/kv-roundtrip/q8-q8/roundtrip.json
Measured,64k,65536,64491,f16-f16,f16,f16,7168,7168,105102.5849,613.600512883,2300639620,2.142637614160776,1972.0905,2178.8,108.4878,2.8436,2290.1314,9025.4943,118333.497,1,93.25,10.7238605898,93.2496,93.2496,True,True,True,0,0,1,3679,3679,8,64k/kv-roundtrip/f16-f16/roundtrip.json
Measured,64k,65536,64491,q4-q4,q4_0,q4_0,8192,8192,100518.2982,641.584678162,734306500,0.6838762201368809,1032.0179,1669.0135,96.1229,1.8303,1766.9667,8462.9738,112034.4867,1,84.1929,11.8774861063,84.1921,84.1921,True,True,True,0,0,1,3679,3679,8,64k/kv-roundtrip/q4-q4/roundtrip.json
Measured,64k,65536,64491,q8-q4,q8_0,q4_0,8192,8192,101196.2459,637.286486534,981948100,0.9145104326307774,1168.8818,1737.8526,89.7761,2.2412,1829.8699,8545.0052,112801.3032,1,75.3939,13.2636725252,75.3933,75.3933,True,True,True,0,0,1,3679,3679,8,64k/kv-roundtrip/q8-q4/roundtrip.json
Measured,64k,65536,64491,q8-q8,q8_0,q8_0,8192,8192,185044.8678,348.515475013,1279118020,1.1912714876234531,1339.05,1859.9953,115.7472,2.8592,1978.6017,8705.26,197154.1852,1,83.7032,11.9469745482,83.7029,83.7029,True,True,True,0,0,1,3679,3679,8,64k/kv-roundtrip/q8-q8/roundtrip.json
Measured,128k,131072,130027,f16-f16,f16,f16,3072,3072,257365.8505,505.22242849,4518640004,4.208311442285776,5392.7041,4310.9151,156.9093,3.0224,4470.8468,11130.0728,300983.2597,1,109.1709,9.15995013323,109.1705,109.1705,True,True,True,0,0,1,248068,248068,128,128k/kv-roundtrip/f16-f16/roundtrip.json
Measured,128k,131072,130027,q4-q4,q4_0,q4_0,4096,4096,242522.0251,536.14511897,1360568516,1.2671281732618809,2573.8392,3729.8028,316.9027,14.4208,4061.1263,10781.2768,285656.197,1,103.6975,9.64343402686,103.6971,103.6971,True,True,True,0,0,1,248068,248068,128,128k/kv-roundtrip/q4-q4/roundtrip.json
Measured,128k,131072,130027,q8-q4,q8_0,q4_0,4096,4096,238908.2833,544.254883941,1859868356,1.7321373857557774,2393.409,4057.1962,311.1432,2.5149,4370.8543,11041.1359,283119.4008,1,117.2887,8.52597053254,117.2882,117.2882,True,True,True,0,0,1,248068,248068,128,128k/kv-roundtrip/q8-q4/roundtrip.json
Measured,192k,196608,195563,q4-q4,q4_0,q4_0,3072,3072,428750.7135,456.122856108,1986830532,1.8503801263868809,3183.3074,5043.6251,322.2472,2.3915,5368.2638,12070.2746,478270.2167,1,127.8107,7.8240710676,127.8104,127.8104,True,True,True,0,0,1,248068,248068,128,192k/kv-roundtrip/q4-q4/roundtrip.json
Measured,192k,196608,195563,q8-q4,q8_0,q4_0,2560,2560,449069.78,435.484658977,2737788612,2.5497643388807774,3581.4222,5262.4795,441.7528,2.164,5706.3963,12288.7004,498852.5417,1,130.0344,7.69027272783,130.034,130.034,True,True,True,0,0,1,248068,248068,128,192k/kv-roundtrip/q8-q4/roundtrip.json
Measured,262k,262144,261099,q4-q4,q4_0,q4_0,2048,2048,716820.9487,364.245772216,2613092548,2.433632079511881,4208.8606,6777.2884,403.5127,1.9463,7182.7474,14002.4419,777177.2924,1,173.7539,5.75526650049,173.7535,173.7535,True,True,True,0,0,1,248068,248068,128,262k/kv-roundtrip/q4-q4/roundtrip.json
Measured,262k,262144,261099,q8-q4,q8_0,q4_0,1536,1536,786857.65,331.824949532,3615708868,3.3673912920057774,4780.929,7202.1253,361.4478,2.325,7565.8981,14149.9402,846810.1424,1,166.3569,6.01117236496,166.3564,166.3564,True,True,True,0,0,1,248068,248068,128,262k/kv-roundtrip/q8-q4/roundtrip.json
