"elapsed_s","gpu_util","gpu_used_mib","gpu_free_mib","temp_c","power_w","working_set_gib"
"1.088","3","650","15396","50","57.42","0.357"
"2.177","1","646","15400","50","56.63","0.357"
"3.267","0","628","15418","50","56.85","0.357"
"4.344","0","628","15418","50","56.66","0.357"
"5.436","0","628","15418","50","56.76","0.357"
"6.526","15","13638","2408","51","63.02","2.796"
"7.617","15","13638","2408","51","64.15","5.693"
"8.704","12","13638","2408","51","60.66","8.123"
"9.786","12","13662","2384","51","58.27","10.556"
"10.865","12","13662","2384","51","58.68","12.986"
"11.971","13","14423","1623","51","59.94","14.957"
"13.075","22","14409","1637","52","78.72","17.884"
"14.178","20","14410","1636","52","87","20.554"
"15.282","30","14410","1636","53","86.69","22.767"
"16.387","35","14403","1643","52","91.79","24.053"
"17.493","33","14401","1645","52","92.08","24.821"
"18.59","38","14401","1645","53","97.85","25.668"
"19.706","32","14235","1811","52","91.52","26.67"
"20.813","28","14235","1811","53","91.7","27.367"
"21.894","32","14236","1810","52","82.9","27.777"
"22.98","31","14236","1810","52","73.6","28.353"
"24.092","32","14235","1811","52","71.27","28.834"
"25.184","29","14235","1811","51","60.08","30.115"
"26.269","39","14235","1811","51","54.78","30.499"
"27.346","34","993","15053","52","67.63","30.601"
"28.407","1","527","15519","51","45.63","22.029"
"29.471","2","527","15519","50","31.84","13.187"
"30.555","3","527","15519","50","31.15","4.299"
"31.616","2","241","15805","50","30.78","0"
