run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,55.4901,2.3708,57.8609
0,1,240,57.2978,1.3672,58.665
0,2,241,58.3271,1.4037,59.7308
0,3,242,59.3433,1.275,60.6183
0,4,243,55.0635,1.505,56.5685
0,5,244,58.1443,1.2703,59.4146
0,6,245,53.0529,1.3837,54.4366
0,7,246,56.6162,1.6627,58.2789
0,8,247,62.5906,1.4683,64.0589
0,9,248,52.0302,1.3767,53.4069
0,10,249,53.0984,1.8559,54.9543
0,11,250,58.0994,1.326,59.4254
0,12,251,57.9024,2.7076,60.61
0,13,252,57.9857,2.0916,60.0773
0,14,253,56.5489,1.3867,57.9356
0,15,254,57.8787,1.7108,59.5895
0,16,255,58.8608,1.9021,60.7629
0,17,256,59.9196,2.1903,62.1099
0,18,257,96.9219,2.1318,99.0537
0,19,258,82.8842,1.8432,84.7274
0,20,259,59.4322,1.4487,60.8809
0,21,260,64.7454,1.8832,66.6286
0,22,261,64.953,1.5805,66.5335
0,23,262,62.0122,2.2636,64.2758
0,24,263,62.1751,1.3646,63.5397
0,25,264,65.8998,1.5557,67.4555
0,26,265,61.1531,2.3737,63.5268
0,27,266,60.5292,1.4492,61.9784
0,28,267,76.4983,2.9502,79.4485
0,29,268,95.7554,2.1222,97.8776
0,30,269,70.781,1.556,72.337
0,31,270,61.5693,1.6001,63.1694
0,32,271,62.6708,2.2322,64.903
0,33,272,65.0937,1.7499,66.8436
0,34,273,60.9002,1.2639,62.1641
0,35,274,61.7516,2.2837,64.0353
0,36,275,60.2118,1.3898,61.6016
0,37,276,53.6495,2.5846,56.2341
0,38,277,59.1874,1.5446,60.732
0,39,278,58.3256,1.9835,60.3091
0,40,279,61.3229,1.3397,62.6626
0,41,280,54.3952,1.2936,55.6888
0,42,281,62.5556,1.3463,63.9019
0,43,282,58.763,1.7247,60.4877
0,44,283,58.6232,1.7507,60.3739
0,45,284,56.5156,2.3188,58.8344
0,46,285,58.8947,2.0197,60.9144
0,47,286,60.9304,1.4984,62.4288
0,48,287,58.7579,1.4398,60.1977
0,49,288,56.8163,1.62,58.4363
0,50,289,60.8993,1.9998,62.8991
0,51,290,56.7592,1.3329,58.0921
0,52,291,55.5796,2.2646,57.8442
0,53,292,57.1379,1.6067,58.7446
0,54,293,54.9444,1.765,56.7094
0,55,294,58.9537,1.6548,60.6085
0,56,295,65.8798,1.649,67.5288
0,57,296,58.1482,1.5347,59.6829
0,58,297,58.3358,1.3119,59.6477
0,59,298,60.7202,1.365,62.0852
0,60,299,59.4274,1.4577,60.8851
0,61,300,59.1368,1.5706,60.7074
0,62,301,59.9956,1.3234,61.319
0,63,302,57.757,1.9467,59.7037
0,64,303,56.1903,1.664,57.8543
0,65,304,59.5733,1.2801,60.8534
0,66,305,58.0053,1.374,59.3793
0,67,306,54.7224,1.4578,56.1802
0,68,307,55.0009,1.6523,56.6532
0,69,308,57.6458,1.3976,59.0434
0,70,309,54.286,2.1119,56.3979
0,71,310,57.4136,2,59.4136
0,72,311,57.7387,1.3151,59.0538
0,73,312,55.8759,2.0497,57.9256
0,74,313,54.7174,1.3501,56.0675
0,75,314,54.0857,1.4154,55.5011
0,76,315,52.8436,1.8025,54.6461
0,77,316,54.0644,2.0206,56.085
0,78,317,52.2671,1.9912,54.2583
0,79,318,59.8232,2.0026,61.8258
0,80,319,56.1485,1.4751,57.6236
0,81,320,62.3356,2.0452,64.3808
0,82,321,55.6013,1.3501,56.9514
0,83,322,69.8347,1.5904,71.4251
0,84,323,58.4096,2.3743,60.7839
0,85,324,57.277,1.3351,58.6121
0,86,325,56.2761,1.7751,58.0512
0,87,326,57.7419,1.3513,59.0932
0,88,327,58.2435,1.7664,60.0099
0,89,328,58.197,1.5269,59.7239
0,90,329,56.0723,1.3712,57.4435
0,91,330,59.9157,1.7159,61.6316
0,92,331,58.6957,1.643,60.3387
0,93,332,56.1968,2.1317,58.3285
0,94,333,57.5183,1.5091,59.0274
0,95,334,56.8533,1.3903,58.2436
0,96,335,64.5577,1.4971,66.0548
0,97,336,62.6765,1.3429,64.0194
0,98,337,66.2102,2.0456,68.2558
0,99,338,56.8108,1.417,58.2278
0,100,339,65.2613,1.5011,66.7624
0,101,340,70.7183,1.4423,72.1606
0,102,341,84.6828,1.5267,86.2095
0,103,342,82.7219,1.6027,84.3246
0,104,343,79.6237,1.5059,81.1296
0,105,344,69.9034,1.3695,71.2729
0,106,345,59.1722,1.7948,60.967
0,107,346,63.5431,1.4485,64.9916
0,108,347,58.2299,1.9086,60.1385
0,109,348,67.4941,1.6081,69.1022
0,110,349,65.9398,1.5459,67.4857
0,111,350,62.3601,1.5893,63.9494
0,112,351,58.8685,1.7708,60.6393
0,113,352,56.8096,1.6587,58.4683
0,114,353,64.1143,1.7283,65.8426
0,115,354,63.4148,1.3813,64.7961
0,116,355,57.7619,2.2945,60.0564
0,117,356,61.2863,1.5825,62.8688
0,118,357,60.8638,1.5761,62.4399
0,119,358,60.6971,1.3536,62.0507
0,120,359,63.3929,1.5104,64.9033
0,121,360,58.4827,1.4274,59.9101
0,122,361,61.6907,1.5303,63.221
0,123,362,58.4046,1.2442,59.6488
0,124,363,54.638,1.3101,55.9481
0,125,364,54.8277,1.3485,56.1762
0,126,365,58.933,1.4729,60.4059
0,127,366,59.2653,1.2948,60.5601
0,128,367,57.6675,2.0439,59.7114
0,129,368,54.9149,1.5514,56.4663
0,130,369,59.2664,1.389,60.6554
0,131,370,57.0066,1.5687,58.5753
0,132,371,53.4986,1.5662,55.0648
0,133,372,56.9224,1.3631,58.2855
0,134,373,53.1762,2.2314,55.4076
0,135,374,51.4445,1.355,52.7995
0,136,375,56.2418,1.8917,58.1335
0,137,376,58.1167,2.3248,60.4415
0,138,377,55.9818,1.2888,57.2706
0,139,378,55.3686,1.7192,57.0878
0,140,379,55.9949,2.0406,58.0355
0,141,380,54.7428,1.5755,56.3183
0,142,381,62.542,1.4771,64.0191
0,143,382,58.0679,1.2789,59.3468
0,144,383,58.1821,1.4417,59.6238
0,145,384,53.8226,2.2466,56.0692
0,146,385,54.2738,1.4689,55.7427
0,147,386,55.1045,1.2772,56.3817
0,148,387,55.7811,1.3599,57.141
0,149,388,54.9969,2.054,57.0509
0,150,389,57.3253,1.2933,58.6186
0,151,390,57.1122,1.5387,58.6509
0,152,391,52.7198,2.5858,55.3056
0,153,392,58.8904,2.2014,61.0918
0,154,393,56.4525,1.579,58.0315
0,155,394,57.5064,1.5598,59.0662
0,156,395,56.5789,1.6987,58.2776
0,157,396,57.4896,1.4498,58.9394
0,158,397,53.9528,2.0411,55.9939
0,159,398,56.5283,1.373,57.9013
0,160,399,58.9522,1.3226,60.2748
0,161,400,51.5427,1.3201,52.8628
0,162,401,55.7981,1.4751,57.2732
0,163,402,56.8644,1.6372,58.5016
0,164,403,55.4276,1.459,56.8866
0,165,404,52.9746,2.4629,55.4375
0,166,405,59.15,1.5399,60.6899
0,167,406,57.9106,1.2972,59.2078
0,168,407,60.625,2.0289,62.6539
0,169,408,52.4304,1.3347,53.7651
0,170,409,61.003,1.9651,62.9681
0,171,410,58.281,2.1734,60.4544
0,172,411,57.262,1.5082,58.7702
0,173,412,55.4952,1.5557,57.0509
0,174,413,62.0334,1.3223,63.3557
0,175,414,55.8637,1.5123,57.376
0,176,415,56.3041,1.6622,57.9663
0,177,416,55.7249,1.3181,57.043
0,178,417,51.6479,2.4104,54.0583
0,179,418,58.2876,1.4707,59.7583
0,180,419,58.328,1.5055,59.8335
0,181,420,54.0664,1.566,55.6324
0,182,421,55.4737,1.6043,57.078
0,183,422,54.1013,2.2644,56.3657
0,184,423,53.3268,1.7992,55.126
0,185,424,53.5036,1.7467,55.2503
0,186,425,53.0142,1.6492,54.6634
0,187,426,54.5758,1.4804,56.0562
0,188,427,54.7711,2.278,57.0491
0,189,428,53.1462,2.3079,55.4541
0,190,429,55.252,1.2809,56.5329
0,191,430,53.0641,2.0328,55.0969
0,192,431,55.2996,1.4858,56.7854
0,193,432,53.183,1.3461,54.5291
0,194,433,55.4132,1.3612,56.7744
0,195,434,52.3706,1.3569,53.7275
0,196,435,51.432,1.3615,52.7935
0,197,436,53.3266,1.3685,54.6951
0,198,437,51.0961,2.3281,53.4242
0,199,438,57.6014,1.3521,58.9535
0,200,439,59.5616,1.6377,61.1993
0,201,440,61.0456,2.461,63.5066
0,202,441,58.1845,2.2133,60.3978
0,203,442,56.4424,1.3735,57.8159
