run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,2048,53.3511,1.6836,55.0347
0,1,2049,86.6145,2.6026,89.2171
0,2,2050,79.0687,1.34,80.4087
0,3,2051,52.8767,1.4062,54.2829
0,4,2052,54.4676,1.5614,56.029
0,5,2053,52.9147,1.4416,54.3563
0,6,2054,52.4003,2.5696,54.9699
0,7,2055,53.9603,1.3852,55.3455
0,8,2056,53.9554,1.3492,55.3046
0,9,2057,52.6312,1.4658,54.097
0,10,2058,54.5014,2.3782,56.8796
0,11,2059,53.1555,2.3159,55.4714
0,12,2060,52.2324,1.5111,53.7435
0,13,2061,57.3914,1.6456,59.037
0,14,2062,64.5937,1.5478,66.1415
0,15,2063,72.9443,1.31,74.2543
0,16,2064,56.4856,1.3608,57.8464
0,17,2065,54.5292,1.3651,55.8943
0,18,2066,59.8369,1.3588,61.1957
0,19,2067,53.0523,2.2399,55.2922
