graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
0,0,GET_ROWS,0,13,0,13,"model.input_embed","token_embd.weight","inp_tokens"
1,3,MUL_MAT_ID,0,164,238,1329,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
3,3,MUL_MAT_ID,0,209,1,614,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
4,3,MUL_MAT_ID,0,335,6,875,"ffn_moe_down-2","blk.2.ffn_down_exps.weight","ffn_moe_swiglu-2"
5,3,MUL_MAT_ID,0,205,16,756,"ffn_moe_down-3","blk.3.ffn_down_exps.weight","ffn_moe_swiglu-3"
6,3,MUL_MAT_ID,0,350,3,743,"ffn_moe_down-4","blk.4.ffn_down_exps.weight","ffn_moe_swiglu-4"
7,3,MUL_MAT_ID,0,210,7,611,"ffn_moe_down-5","blk.5.ffn_down_exps.weight","ffn_moe_swiglu-5"
8,3,MUL_MAT_ID,0,190,23,603,"ffn_moe_down-6","blk.6.ffn_down_exps.weight","ffn_moe_swiglu-6"
9,3,MUL_MAT_ID,0,219,9,631,"ffn_moe_down-7","blk.7.ffn_down_exps.weight","ffn_moe_swiglu-7"
10,3,MUL_MAT_ID,0,183,44,670,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
11,3,MUL_MAT_ID,0,164,54,644,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
12,3,MUL_MAT_ID,0,338,23,1082,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
13,3,MUL_MAT_ID,0,294,70,1010,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
14,3,MUL_MAT_ID,0,204,21,645,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
15,3,MUL_MAT_ID,0,161,54,637,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
16,3,MUL_MAT_ID,0,162,52,584,"ffn_moe_down-14","blk.14.ffn_down_exps.weight","ffn_moe_swiglu-14"
17,3,MUL_MAT_ID,0,166,40,590,"ffn_moe_down-15","blk.15.ffn_down_exps.weight","ffn_moe_swiglu-15"
18,3,MUL_MAT_ID,0,157,42,573,"ffn_moe_down-16","blk.16.ffn_down_exps.weight","ffn_moe_swiglu-16"
19,3,MUL_MAT_ID,0,205,25,672,"ffn_moe_down-17","blk.17.ffn_down_exps.weight","ffn_moe_swiglu-17"
20,3,MUL_MAT_ID,0,219,5,622,"ffn_moe_down-18","blk.18.ffn_down_exps.weight","ffn_moe_swiglu-18"
21,3,MUL_MAT_ID,0,216,17,644,"ffn_moe_down-19","blk.19.ffn_down_exps.weight","ffn_moe_swiglu-19"
22,3,MUL_MAT_ID,0,215,6,606,"ffn_moe_down-20","blk.20.ffn_down_exps.weight","ffn_moe_swiglu-20"
23,3,MUL_MAT_ID,0,216,7,598,"ffn_moe_down-21","blk.21.ffn_down_exps.weight","ffn_moe_swiglu-21"
24,3,MUL_MAT_ID,0,219,4,596,"ffn_moe_down-22","blk.22.ffn_down_exps.weight","ffn_moe_swiglu-22"
25,3,MUL_MAT_ID,0,221,0,609,"ffn_moe_down-23","blk.23.ffn_down_exps.weight","ffn_moe_swiglu-23"
26,3,MUL_MAT_ID,0,100,123,679,"ffn_moe_down-24","blk.24.ffn_down_exps.weight","ffn_moe_swiglu-24"
27,3,MUL_MAT_ID,0,96,117,582,"ffn_moe_down-25","blk.25.ffn_down_exps.weight","ffn_moe_swiglu-25"
28,3,MUL_MAT_ID,0,89,125,595,"ffn_moe_down-26","blk.26.ffn_down_exps.weight","ffn_moe_swiglu-26"
29,3,MUL_MAT_ID,0,94,119,596,"ffn_moe_down-27","blk.27.ffn_down_exps.weight","ffn_moe_swiglu-27"
30,3,MUL_MAT_ID,0,188,187,1050,"ffn_moe_down-28","blk.28.ffn_down_exps.weight","ffn_moe_swiglu-28"
31,3,MUL_MAT_ID,0,103,115,693,"ffn_moe_down-29","blk.29.ffn_down_exps.weight","ffn_moe_swiglu-29"
32,3,MUL_MAT_ID,0,189,129,692,"ffn_moe_down-30","blk.30.ffn_down_exps.weight","ffn_moe_swiglu-30"
33,3,MUL_MAT_ID,0,90,121,594,"ffn_moe_down-31","blk.31.ffn_down_exps.weight","ffn_moe_swiglu-31"
34,3,MUL_MAT_ID,0,126,98,632,"ffn_moe_down-32","blk.32.ffn_down_exps.weight","ffn_moe_swiglu-32"
35,3,MUL_MAT_ID,0,140,90,615,"ffn_moe_down-33","blk.33.ffn_down_exps.weight","ffn_moe_swiglu-33"
36,3,MUL_MAT_ID,0,207,15,634,"ffn_moe_down-34","blk.34.ffn_down_exps.weight","ffn_moe_swiglu-34"
37,3,MUL_MAT_ID,0,211,3,631,"ffn_moe_down-35","blk.35.ffn_down_exps.weight","ffn_moe_swiglu-35"
38,3,MUL_MAT_ID,0,94,120,593,"ffn_moe_down-36","blk.36.ffn_down_exps.weight","ffn_moe_swiglu-36"
39,3,MUL_MAT_ID,0,100,119,609,"ffn_moe_down-37","blk.37.ffn_down_exps.weight","ffn_moe_swiglu-37"
40,3,MUL_MAT_ID,0,102,115,599,"ffn_moe_down-38","blk.38.ffn_down_exps.weight","ffn_moe_swiglu-38"
41,3,MUL_MAT_ID,0,226,2,643,"ffn_moe_down-39","blk.39.ffn_down_exps.weight","ffn_moe_swiglu-39"
42,3,MUL_MAT_ID,0,212,1,607,"ffn_moe_down-40","blk.40.ffn_down_exps.weight","ffn_moe_swiglu-40"
43,3,MUL_MAT_ID,0,199,20,585,"ffn_moe_down-41","blk.41.ffn_down_exps.weight","ffn_moe_swiglu-41"
44,3,MUL_MAT_ID,0,189,22,579,"ffn_moe_down-42","blk.42.ffn_down_exps.weight","ffn_moe_swiglu-42"
45,3,MUL_MAT_ID,0,188,21,583,"ffn_moe_down-43","blk.43.ffn_down_exps.weight","ffn_moe_swiglu-43"
46,3,MUL_MAT_ID,0,222,11,682,"ffn_moe_down-44","blk.44.ffn_down_exps.weight","ffn_moe_swiglu-44"
47,3,MUL_MAT_ID,0,219,7,610,"ffn_moe_down-45","blk.45.ffn_down_exps.weight","ffn_moe_swiglu-45"
48,3,MUL_MAT_ID,0,309,9,685,"ffn_moe_down-46","blk.46.ffn_down_exps.weight","ffn_moe_swiglu-46"
49,3,MUL_MAT_ID,0,327,5,719,"ffn_moe_down-47","blk.47.ffn_down_exps.weight","ffn_moe_swiglu-47"
50,0,GET_ROWS,0,4,0,4,"model.input_embed","token_embd.weight","inp_tokens"
51,3,MUL_MAT_ID,0,316,40,1143,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
53,3,MUL_MAT_ID,0,200,6,587,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
54,3,MUL_MAT_ID,0,318,5,723,"ffn_moe_down-2","blk.2.ffn_down_exps.weight","ffn_moe_swiglu-2"
55,3,MUL_MAT_ID,0,198,1,567,"ffn_moe_down-3","blk.3.ffn_down_exps.weight","ffn_moe_swiglu-3"
56,3,MUL_MAT_ID,0,535,58,1292,"ffn_moe_down-4","blk.4.ffn_down_exps.weight","ffn_moe_swiglu-4"
57,3,MUL_MAT_ID,0,148,69,605,"ffn_moe_down-5","blk.5.ffn_down_exps.weight","ffn_moe_swiglu-5"
58,3,MUL_MAT_ID,0,192,29,625,"ffn_moe_down-6","blk.6.ffn_down_exps.weight","ffn_moe_swiglu-6"
59,3,MUL_MAT_ID,0,331,41,1031,"ffn_moe_down-7","blk.7.ffn_down_exps.weight","ffn_moe_swiglu-7"
60,3,MUL_MAT_ID,0,208,14,602,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
61,3,MUL_MAT_ID,0,223,10,650,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
62,3,MUL_MAT_ID,0,220,20,671,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
63,3,MUL_MAT_ID,0,107,116,760,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
64,3,MUL_MAT_ID,0,207,190,1190,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
65,3,MUL_MAT_ID,0,136,89,596,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
66,3,MUL_MAT_ID,0,143,84,625,"ffn_moe_down-14","blk.14.ffn_down_exps.weight","ffn_moe_swiglu-14"
67,3,MUL_MAT_ID,0,139,291,1153,"ffn_moe_down-15","blk.15.ffn_down_exps.weight","ffn_moe_swiglu-15"
68,3,MUL_MAT_ID,0,114,99,589,"ffn_moe_down-16","blk.16.ffn_down_exps.weight","ffn_moe_swiglu-16"
69,3,MUL_MAT_ID,0,125,89,583,"ffn_moe_down-17","blk.17.ffn_down_exps.weight","ffn_moe_swiglu-17"
70,3,MUL_MAT_ID,0,117,97,595,"ffn_moe_down-18","blk.18.ffn_down_exps.weight","ffn_moe_swiglu-18"
71,3,MUL_MAT_ID,0,127,101,708,"ffn_moe_down-19","blk.19.ffn_down_exps.weight","ffn_moe_swiglu-19"
72,3,MUL_MAT_ID,0,208,15,713,"ffn_moe_down-20","blk.20.ffn_down_exps.weight","ffn_moe_swiglu-20"
73,3,MUL_MAT_ID,0,206,14,613,"ffn_moe_down-21","blk.21.ffn_down_exps.weight","ffn_moe_swiglu-21"
74,3,MUL_MAT_ID,0,205,16,616,"ffn_moe_down-22","blk.22.ffn_down_exps.weight","ffn_moe_swiglu-22"
75,3,MUL_MAT_ID,0,184,25,580,"ffn_moe_down-23","blk.23.ffn_down_exps.weight","ffn_moe_swiglu-23"
76,3,MUL_MAT_ID,0,218,3,623,"ffn_moe_down-24","blk.24.ffn_down_exps.weight","ffn_moe_swiglu-24"
77,3,MUL_MAT_ID,0,213,5,632,"ffn_moe_down-25","blk.25.ffn_down_exps.weight","ffn_moe_swiglu-25"
78,3,MUL_MAT_ID,0,436,37,1430,"ffn_moe_down-26","blk.26.ffn_down_exps.weight","ffn_moe_swiglu-26"
79,3,MUL_MAT_ID,0,205,1,577,"ffn_moe_down-27","blk.27.ffn_down_exps.weight","ffn_moe_swiglu-27"
80,3,MUL_MAT_ID,0,292,118,1244,"ffn_moe_down-28","blk.28.ffn_down_exps.weight","ffn_moe_swiglu-28"
81,3,MUL_MAT_ID,0,230,5,654,"ffn_moe_down-29","blk.29.ffn_down_exps.weight","ffn_moe_swiglu-29"
82,3,MUL_MAT_ID,0,310,8,686,"ffn_moe_down-30","blk.30.ffn_down_exps.weight","ffn_moe_swiglu-30"
83,3,MUL_MAT_ID,0,160,37,563,"ffn_moe_down-31","blk.31.ffn_down_exps.weight","ffn_moe_swiglu-31"
84,3,MUL_MAT_ID,0,161,43,564,"ffn_moe_down-32","blk.32.ffn_down_exps.weight","ffn_moe_swiglu-32"
85,3,MUL_MAT_ID,0,235,54,776,"ffn_moe_down-33","blk.33.ffn_down_exps.weight","ffn_moe_swiglu-33"
86,3,MUL_MAT_ID,0,221,7,644,"ffn_moe_down-34","blk.34.ffn_down_exps.weight","ffn_moe_swiglu-34"
87,3,MUL_MAT_ID,0,227,6,641,"ffn_moe_down-35","blk.35.ffn_down_exps.weight","ffn_moe_swiglu-35"
88,3,MUL_MAT_ID,0,199,24,599,"ffn_moe_down-36","blk.36.ffn_down_exps.weight","ffn_moe_swiglu-36"
89,3,MUL_MAT_ID,0,199,21,725,"ffn_moe_down-37","blk.37.ffn_down_exps.weight","ffn_moe_swiglu-37"
90,3,MUL_MAT_ID,0,203,22,620,"ffn_moe_down-38","blk.38.ffn_down_exps.weight","ffn_moe_swiglu-38"
91,3,MUL_MAT_ID,0,214,7,637,"ffn_moe_down-39","blk.39.ffn_down_exps.weight","ffn_moe_swiglu-39"
92,3,MUL_MAT_ID,0,210,12,659,"ffn_moe_down-40","blk.40.ffn_down_exps.weight","ffn_moe_swiglu-40"
93,3,MUL_MAT_ID,0,204,19,580,"ffn_moe_down-41","blk.41.ffn_down_exps.weight","ffn_moe_swiglu-41"
94,3,MUL_MAT_ID,0,113,126,605,"ffn_moe_down-42","blk.42.ffn_down_exps.weight","ffn_moe_swiglu-42"
95,3,MUL_MAT_ID,0,106,161,642,"ffn_moe_down-43","blk.43.ffn_down_exps.weight","ffn_moe_swiglu-43"
96,3,MUL_MAT_ID,0,129,104,631,"ffn_moe_down-44","blk.44.ffn_down_exps.weight","ffn_moe_swiglu-44"
97,3,MUL_MAT_ID,0,102,120,619,"ffn_moe_down-45","blk.45.ffn_down_exps.weight","ffn_moe_swiglu-45"
98,3,MUL_MAT_ID,0,197,127,700,"ffn_moe_down-46","blk.46.ffn_down_exps.weight","ffn_moe_swiglu-46"
