run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,55.6411,1.8645,57.5056
0,1,240,59.4916,1.299,60.7906
0,2,241,61.2205,1.3374,62.5579
0,3,242,63.2539,1.4593,64.7132
0,4,243,55.5767,1.3428,56.9195
0,5,244,60.3615,1.7417,62.1032
0,6,245,57.9321,1.7053,59.6374
0,7,246,58.3126,1.3007,59.6133
0,8,247,65.3882,1.2879,66.6761
0,9,248,56.7148,1.4977,58.2125
0,10,249,57.7251,1.5595,59.2846
0,11,250,55.6948,1.4163,57.1111
0,12,251,57.5563,1.5546,59.1109
0,13,252,58.6483,1.3954,60.0437
0,14,253,55.2954,1.3099,56.6053
0,15,254,57.4611,2.3362,59.7973
0,16,255,61.8835,1.338,63.2215
0,17,256,60.4321,1.7103,62.1424
0,18,257,98.6247,2.468,101.093
0,19,258,79.4277,1.3747,80.8024
