graph_id,node_index,op,fused_nodes,worker_us,barrier_us,name,src0,src1
0,0,GET_ROWS,0,3,0,"model.input_embed","token_embd.weight","inp_tokens"
0,2,REPEAT,0,3,0,"hc_init","model.input_embed (reshaped)",""
0,3,RMS_NORM,0,2,1,"node_3","hc_init",""
0,5,MUL,0,8,0,"hc_norm-0"," (reshaped)","blk.0.hc_attn_norm.weight"
0,6,MUL_MAT,0,51,27,"node_6","blk.0.hc_attn_down.weight","hc_norm-0"
0,7,SCALE,0,0,52,"node_7","node_6",""
0,8,UNARY,0,0,2,"node_8","node_7",""
0,9,MUL_MAT,0,65,6,"node_9","blk.0.hc_attn_up.weight","node_8"
0,10,UNARY,0,30,0,"hc_gate-0","node_9",""
0,11,MUL,0,18,0,"node_11","hc_norm-0","hc_gate-0"
0,14,CONT,0,0,2," (reshaped) (view) (cont)"," (reshaped) (view)",""
0,16,ADD,0,2,8,"node_16"," (reshaped) (view) (cont)"," (reshaped) (view)"
0,18,ADD,0,1,1,"node_18","node_16"," (reshaped) (view)"
0,20,ADD,0,1,1,"node_20","node_18"," (reshaped) (view)"
0,21,SCALE,0,0,2,"hc_mixed-0","node_20",""
0,24,SCALE,0,0,2,"cache_r_l0 (reshaped) (view) (view)","cache_r_l0 (reshaped) (view)",""
0,26,GET_ROWS,0,13,3,"node_26","cache_r_l0 (reshaped)"," (view)"
0,28,GET_ROWS,0,0,2,"node_28","cache_r_l0 (reshaped)"," (view)"
0,30,CPY,0,0,3,"cache_r_l0 (view) (copy of )","node_28","cache_r_l0 (view)"
0,32,MUL_MAT,0,472,21,"node_32","blk.0.attn_qkv.weight","hc_mixed-0"
0,35,CONCAT,0,71,1,"node_35","conv_state_at-0","linear_attn_qkv_mixed-0 (transposed)"
0,37,CONT,0,1,6," (view) (cont)"," (view)",""
0,39,CPY,0,0,3,"cache_r_l0 (view) (copy of  (view) (cont))"," (view) (cont)","cache_r_l0 (view)"
0,42,SCALE,0,0,2,"cache_s_l0 (reshaped) (view) (view)","cache_s_l0 (reshaped) (view)",""
0,43,GET_ROWS,0,236,1,"node_43","cache_s_l0 (reshaped)"," (view)"
0,44,GET_ROWS,0,0,2,"node_44","cache_s_l0 (reshaped)"," (view)"
0,46,CPY,0,0,2,"cache_s_l0 (view) (copy of )","node_44","cache_s_l0 (view)"
0,47,SSM_CONV,0,3,2,"conv_output_raw-0","node_35","blk.0.ssm_conv1d.weight"
0,48,UNARY,0,3,0,"conv_output_silu-0","conv_output_raw-0",""
0,50,L2_NORM,0,2,2,"q_conv_predelta-0","q_conv-0",""
0,52,L2_NORM,0,0,2,"k_conv_predelta-0","k_conv-0",""
0,54,MUL_MAT,0,10,3,"node_54","blk.0.ssm_alpha.weight","hc_mixed-0"
0,56,ADD,0,0,2,"node_56","alpha-0","blk.0.ssm_dt.bias"
0,57,UNARY,0,1,1,"a_softplus-0","node_56",""
0,58,MUL,0,0,2,"gate-0","a_softplus-0","blk.0.ssm_a"
