run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,153.608,4.8001,158.408
0,1,240,155.952,4.8955,160.847
0,2,241,147.831,4.6958,152.527
0,3,242,151.567,4.864,156.431
0,4,243,174.666,4.3889,179.055
0,5,244,163.741,4.6181,168.359
0,6,245,162.942,4.5871,167.53
0,7,246,149.116,4.8944,154.011
0,8,247,156.856,4.4471,161.303
0,9,248,155.242,5.9806,161.223
0,10,249,146.326,4.7888,151.115
0,11,250,156.734,5.2309,161.965
0,12,251,154.955,4.6401,159.595
0,13,252,149.951,4.4977,154.449
0,14,253,153.935,4.3069,158.242
0,15,254,150.605,4.6968,155.302
0,16,255,155.648,4.7697,160.418
0,17,256,151.077,4.6306,155.707
0,18,257,161.34,1.9282,163.268
0,19,258,162.078,3.8692,165.947
