graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
0,0,GET_ROWS,0,3,1,4,"model.input_embed","token_embd.weight","inp_tokens"
0,69,RMS_NORM,0,1,7,1730,"norm-0","attn_output-0",""
1,5,MUL_MAT,0,327,10,676,"linear_attn_out-0","blk.0.ssm_out.weight","final_output-0"
1,34,SCALE,0,1,1,936,"ffn_moe_inp-0","node_104",""
1,70,ADD,0,2,0,1754,"ffn_moe_out-0","node_140","ffn_moe_weighted-0 (view)"
1,93,MUL_MAT,0,32,9,2645,"ffn_shexp-0","blk.0.ffn_down_shexp.weight","ffn_swiglu-0"
1,96,MUL,0,3,0,2656,"ffn_shexp_gated-0","ffn_shexp-0","shared_expert_gate_sigmoid-0"
1,97,ADD,0,1,0,2658,"ffn_out-0","ffn_moe_out-0","ffn_shexp_gated-0"
1,236,RMS_NORM,0,0,1,4834,"norm-1","attn_output-1",""
2,5,MUL_MAT,0,322,2,657,"linear_attn_out-1","blk.1.ssm_out.weight","final_output-1"
2,34,SCALE,0,0,2,1075,"ffn_moe_inp-1","node_342",""
2,70,ADD,0,1,1,1953,"ffn_moe_out-1","node_378","ffn_moe_weighted-1 (view)"
2,74,MUL_MAT,0,35,3,2081,"ffn_shexp-1","blk.1.ffn_down_shexp.weight","ffn_swiglu-1"
2,77,MUL,0,3,0,2090,"ffn_shexp_gated-1","ffn_shexp-1","shared_expert_gate_sigmoid-1"
2,78,ADD,0,1,0,2092,"ffn_out-1","ffn_moe_out-1","ffn_shexp_gated-1"
2,152,RMS_NORM,0,6,0,3738,"norm-2","attn_output-2",""
3,5,MUL_MAT,0,255,99,674,"linear_attn_out-2","blk.2.ssm_out.weight","final_output-2"
3,34,SCALE,0,0,8,1013,"ffn_moe_inp-2","node_496",""
3,70,ADD,0,1,1,2079,"ffn_moe_out-2","node_532","ffn_moe_weighted-2 (view)"
3,74,MUL_MAT,0,20,15,2195,"ffn_shexp-2","blk.2.ffn_down_shexp.weight","ffn_swiglu-2"
3,77,MUL,0,1,0,2210,"ffn_shexp_gated-2","ffn_shexp-2","shared_expert_gate_sigmoid-2"
3,78,ADD,0,1,0,2212,"ffn_out-2","ffn_moe_out-2","ffn_shexp_gated-2"
3,151,RMS_NORM,0,4,0,3237,"norm-3","indexer_k_pooled-3 (reshaped)",""
4,38,MUL_MAT,0,176,165,574,"attn_output-3","blk.3.attn_output.weight","attn_gated-3"
4,66,SCALE,0,0,1,798,"ffn_moe_inp-3","node_683",""
4,102,ADD,0,1,7,1593,"ffn_moe_out-3","node_719","ffn_moe_weighted-3 (view)"
4,106,MUL_MAT,0,24,17,1708,"ffn_shexp-3","blk.3.ffn_down_shexp.weight","ffn_swiglu-3"
