layer,samples,layer_total_ms,layer_p50_ms,layer_p95_ms,hc_and_attention_ms,attn_residual_and_ffn_hc_ms,router_ms,routed_expert_and_merge_ms,shared_expert_ms,moe_shared_merge_ms,ffn_residual_and_next_prep_ms
0,20,4.7375,4.8215,5.447,0.6856,0.2583,0.13555,0.77815,0.9202,0.013899999999999978,1.9458
1,20,3.64635,3.654,4.249,0.6572,0.28375,0.13229999999999997,0.8876,0.14070000000000005,0.019449999999999978,1.52535
2,20,3.43585,3.2859999999999996,4.093,0.6523,0.26555,0.13159999999999997,1.13565,0.14339999999999997,0.02739999999999998,1.07995
3,20,3.4023,3.3465,3.957,0.54555,0.2498,0.13025,0.78905,0.13259999999999997,0.014300000000000035,1.54075
4,20,3.71445,3.6585,4.207,0.6424,0.25795,0.13274999999999998,0.99525,0.11930000000000003,0.01419999999999998,1.5526
5,20,3.4383,3.37,3.984,0.6487,0.26415,0.13215,0.731,0.12300000000000003,0.014949999999999986,1.52435
6,20,3.09225,3.0705,3.452,0.6668000000000001,0.27695,0.1371,0.78315,0.13179999999999997,0.02194999999999999,1.0745
7,20,3.26645,3.2720000000000002,3.756,0.5607,0.24345,0.12535,0.787,0.11639999999999998,0.019350000000000023,1.4142
8,20,3.4958,3.4285,4.046,0.6496,0.26385000000000003,0.13445,0.8216,0.13344999999999999,0.014300000000000012,1.47855
9,20,3.4484,3.455,3.858,0.64545,0.2681,0.1324,0.76975,0.13199999999999998,0.013649999999999985,1.48705
10,20,3.1529,3.0395000000000003,3.626,0.6728000000000001,0.26694999999999997,0.14284999999999995,0.8474,0.12895000000000004,0.014849999999999997,1.0791
11,20,3.2557,3.276,3.539,0.5567,0.2559,0.13279999999999997,0.7602,0.11815,0.014400000000000034,1.4175499999999999
12,20,3.395,3.3200000000000003,4.129,0.6502,0.2661,0.12865,0.74515,0.12285,0.013350000000000006,1.4687
13,20,3.4357,3.3125,3.908,0.6633,0.26045,0.13254999999999997,0.8216,0.13060000000000002,0.013299999999999979,1.4139
14,20,3.0138,2.997,3.237,0.6572,0.2583,0.13424999999999995,0.74065,0.12145000000000003,0.022149999999999982,1.0798
15,20,3.2025,3.1515,3.647,0.54505,0.2557,0.1257,0.7736999999999999,0.12860000000000005,0.013499999999999979,1.36025
16,20,3.40035,3.3295,3.728,0.6506500000000001,0.26589999999999997,0.1298,0.7544000000000001,0.1451,0.014299999999999969,1.4402
17,20,3.3782,3.354,3.861,0.64675,0.25229999999999997,0.13674999999999998,0.75265,0.12254999999999999,0.013850000000000029,1.45335
18,20,3.09965,3.0460000000000003,3.645,0.6759000000000001,0.27285,0.1463,0.75405,0.12479999999999997,0.025450000000000007,1.1003
19,20,3.2763,3.2165,3.76,0.5576,0.24284999999999998,0.132,0.75095,0.1279,0.015200000000000002,1.4498
20,20,3.41965,3.357,3.896,0.65375,0.26375,0.13439999999999996,0.7469000000000001,0.1258,0.013349999999999996,1.4817
21,20,3.5975,3.6029999999999998,4.161,0.6473,0.2627,0.13984999999999997,0.8654,0.1386,0.028950000000000052,1.5147
22,20,3.0122,2.9655,3.296,0.65705,0.2673,0.1319,0.728,0.1325,0.013950000000000028,1.0815
23,20,3.36935,3.3135000000000003,3.974,0.5528,0.26105,0.12564999999999998,0.845,0.12129999999999994,0.02200000000000003,1.44155
24,20,3.5286,3.5335,3.983,0.6522,0.27645000000000003,0.143,0.8077,0.14240000000000003,0.020200000000000017,1.48665
25,20,3.4871,3.517,3.808,0.65545,0.28090000000000004,0.13124999999999998,0.75365,0.12199999999999998,0.014149999999999996,1.5297
26,20,3.081,2.9930000000000003,3.467,0.6558,0.25684999999999997,0.12815,0.8694500000000001,0.1266,0.01424999999999994,1.0299
27,20,3.24595,3.189,3.682,0.55355,0.25605,0.12795,0.7274,0.12199999999999996,0.022100000000000043,1.4369
28,20,3.4755000000000003,3.5025,3.939,0.6587,0.2671,0.1405,0.7887500000000001,0.1385,0.01649999999999997,1.4654500000000001
29,20,3.5132,3.3775000000000004,4.255,0.6688000000000001,0.26304999999999995,0.1337,0.7749999999999999,0.13305,0.015649999999999997,1.52395
30,20,3.2897,3.2085,3.841,0.64445,0.265,0.14619999999999997,0.98495,0.13770000000000002,0.015050000000000018,1.09635
31,20,3.2875,3.1905,3.952,0.544,0.25465,0.13029999999999997,0.7825,0.11715000000000002,0.011899999999999977,1.447
32,20,3.423,3.422,3.711,0.66335,0.25365,0.13794999999999996,0.7757000000000001,0.12845,0.013100000000000033,1.4507999999999999
33,20,3.44445,3.4335,3.743,0.65235,0.2728,0.1377,0.7574,0.13145,0.01349999999999999,1.47925
34,20,3.1122,3.0515,3.546,0.64775,0.2888,0.1292,0.7998,0.12675000000000003,0.013849999999999963,1.10605
35,20,3.40045,3.3945,3.853,0.56825,0.26515,0.13345,0.8412,0.11755000000000002,0.012749999999999994,1.4621
36,20,3.4552,3.4154999999999998,3.887,0.6535,0.26825,0.13224999999999998,0.7752,0.12295,0.018950000000000022,1.4841
37,20,3.412,3.3840000000000003,3.794,0.65155,0.26705,0.13514999999999996,0.7484000000000001,0.14060000000000003,0.012099999999999967,1.45715
38,20,2.0164,1.9425,2.436,0.6501,0.26295,0.14255,0.78335,0.13075,0.016999999999999994,0.029700000000000015
