layer,samples,layer_total_ms,layer_p50_ms,layer_p95_ms,hc_and_attention_ms,attn_residual_and_ffn_hc_ms,router_ms,routed_expert_and_merge_ms,shared_expert_ms,moe_shared_merge_ms,ffn_residual_and_next_prep_ms
0,20,4.7154,4.6625,5.368,0.69085,0.2723,0.0,0.9126500000000001,0.92815,0.01904999999999999,1.8923999999999999
1,20,3.65985,3.6085000000000003,4.221,0.6963,0.28890000000000005,0.0,1.05495,0.137,0.013150000000000018,1.46955
2,20,3.4885,3.4295,4.003,0.6719,0.26715,0.0,1.2842,0.13655000000000003,0.01509999999999997,1.1136
3,20,3.3361,3.2744999999999997,3.991,0.6131,0.24795,0.0,0.9161,0.11994999999999997,0.01600000000000006,1.4229999999999998
4,20,3.73055,3.591,4.351,0.67895,0.2778,0.0,1.1394,0.13819999999999996,0.021049999999999958,1.47515
5,20,3.5002,3.4695,3.998,0.6817,0.30395,0.0,0.9002,0.12894999999999995,0.01645000000000002,1.46895
6,20,3.10265,2.9945,3.774,0.685,0.2925,0.0,0.93245,0.1271,0.01295000000000005,1.0526499999999999
7,20,3.32175,3.2775,3.693,0.5747,0.25165,0.0,0.89715,0.12935,0.017299999999999992,1.4516
8,20,3.522,3.365,4.253,0.67375,0.2773,0.0,0.96235,0.13720000000000004,0.01204999999999996,1.45935
9,20,3.4614,3.339,3.945,0.68015,0.2724,0.0,0.92065,0.13,0.011050000000000015,1.44715
10,20,3.1682,3.0095,3.723,0.67335,0.26944999999999997,0.0,0.99165,0.13069999999999998,0.019199999999999995,1.08385
11,20,3.27235,3.1755,3.716,0.5617,0.2756,0.0,0.8735499999999999,0.11705,0.023450000000000016,1.421
12,20,3.41585,3.3795,3.724,0.67805,0.2763,0.0,0.89885,0.13320000000000004,0.01334999999999995,1.4161
13,20,3.6199,3.599,4.025,0.69525,0.2733,0.0,0.98915,0.14715,0.013399999999999978,1.5016500000000002
14,20,3.1447,3.102,3.603,0.6811,0.29445,0.0,0.8996,0.13475000000000004,0.01695000000000001,1.11785
15,20,3.32835,3.3145,3.683,0.5722,0.26935,0.0,0.885,0.12395000000000003,0.015049999999999985,1.4628
16,20,3.54035,3.5285,4.028,0.6697000000000001,0.28414999999999996,0.0,0.915,0.13770000000000002,0.03049999999999995,1.5033
17,20,3.5461,3.4814999999999996,4.005,0.6962,0.2741,0.0,0.97185,0.13005,0.015350000000000008,1.45855
18,20,3.067,2.979,3.597,0.68825,0.26625,0.0,0.9034,0.12720000000000006,0.015149999999999964,1.06675
19,20,3.3466,3.317,3.688,0.5929,0.264,0.0,0.9037,0.12619999999999998,0.01465000000000003,1.44515
20,20,3.5060000000000002,3.4595000000000002,3.95,0.6733,0.26355,0.0,0.9280499999999999,0.13295000000000004,0.015050000000000008,1.4931
21,20,3.54365,3.4465000000000003,4.047,0.68265,0.27599999999999997,0.0,0.9723499999999999,0.12455000000000002,0.013849999999999996,1.47425
22,20,3.13655,3.096,3.662,0.67515,0.284,0.0,0.91285,0.13369999999999996,0.01665000000000001,1.1142
23,20,3.3443,3.2439999999999998,3.95,0.5692,0.25680000000000003,0.0,1.0013,0.1271,0.013849999999999996,1.37605
24,20,3.4866,3.3625,4.086,0.67405,0.2609,0.0,0.9455,0.12345000000000002,0.019500000000000017,1.4632
25,20,3.5423,3.51,3.788,0.6919,0.3003,0.0,0.95855,0.12805,0.014449999999999985,1.44905
26,20,3.2462,3.1295,3.85,0.67505,0.26505,0.0,1.07265,0.12485000000000003,0.0129,1.0957
27,20,3.3145,3.3055,3.654,0.5678,0.25705,0.0,0.906,0.11960000000000001,0.01545000000000003,1.4485999999999999
28,20,3.48505,3.409,3.809,0.67215,0.27235,0.0,0.9255,0.13935000000000003,0.020250000000000025,1.45545
29,20,3.51515,3.435,4.107,0.69045,0.28085,0.0,0.9448,0.13290000000000005,0.011399999999999966,1.45475
30,20,3.32005,3.255,3.83,0.6737000000000001,0.2658,0.0,1.1529,0.12424999999999999,0.01509999999999998,1.0883
31,20,3.3891,3.4045,4.055,0.56895,0.2912,0.0,0.94665,0.1179,0.013500000000000002,1.4508999999999999
32,20,3.55455,3.525,4.007,0.6761,0.26415,0.0,0.9599,0.1345,0.018599999999999985,1.5013
33,20,3.4746,3.5175,3.953,0.673,0.2933,0.0,0.9049499999999999,0.1383,0.013700000000000013,1.45135
34,20,3.18295,3.141,3.576,0.69105,0.29495,0.0,0.984,0.14899999999999997,0.013500000000000057,1.0504499999999999
35,20,3.39185,3.3274999999999997,3.936,0.55735,0.2587,0.0,0.9956999999999999,0.133,0.017300000000000017,1.4298
36,20,3.5305999999999997,3.4095,4.066,0.66655,0.2682,0.0,0.9281499999999999,0.12705,0.01469999999999999,1.52595
37,20,3.5073,3.5025000000000004,3.977,0.6676,0.26404999999999995,0.0,0.92095,0.1254,0.014349999999999974,1.51495
38,20,2.1157,2.0380000000000003,2.686,0.6629,0.2729,0.0,1.00155,0.13379999999999997,0.013550000000000052,0.030999999999999937
