layer,samples,expert_graph_mean_ms,expert_graph_p50_ms,expert_graph_p95_ms,final_down_worker_mean_ms,final_barrier_mean_ms,other_expert_work_and_barriers_mean_ms
0,20,0.82725,0.6605000000000001,1.329,0.19945,0.0893,0.5385
1,20,0.8118,0.6375,1.175,0.2193,0.06125,0.53125
2,20,1.1584,0.946,1.733,0.4193,0.08745,0.6516500000000001
3,20,0.7136,0.6074999999999999,1.168,0.19140000000000001,0.0657,0.4565
4,20,0.9708,0.752,1.614,0.34315,0.1191,0.50855
5,20,0.76235,0.638,1.168,0.2094,0.06465,0.4883
6,20,0.73645,0.6205,1.173,0.18735,0.07735,0.47175
7,20,0.797,0.6795,1.057,0.19355,0.09185,0.5116
8,20,0.75885,0.648,1.15,0.1764,0.0801,0.50235
9,20,0.71965,0.64,1.17,0.183,0.0712,0.46545000000000003
10,20,0.8119,0.662,1.231,0.20895,0.07785,0.5251
11,20,0.7661,0.6335,1.197,0.1815,0.08695,0.49765000000000004
12,20,0.70625,0.636,1.19,0.17525,0.0738,0.4572
13,20,0.78175,0.6565000000000001,1.252,0.1994,0.0856,0.49675
14,20,0.68945,0.619,1.008,0.1752,0.07015,0.4441
15,20,0.6645,0.6185,1.027,0.1568,0.08255,0.42515000000000003
16,20,0.7344999999999999,0.6275,1.07,0.17375000000000002,0.08175,0.479
17,20,0.62065,0.6005,0.739,0.1591,0.06725,0.3943
18,20,0.77435,0.6365000000000001,1.172,0.2024,0.07435,0.4976
19,20,0.6955,0.636,1.065,0.1777,0.0648,0.453
20,20,0.72345,0.6165,1.141,0.1922,0.0615,0.46975
21,20,0.7811,0.6285000000000001,1.212,0.2141,0.06145,0.5055499999999999
22,20,0.7343500000000001,0.631,1.381,0.1864,0.0706,0.47735
23,20,0.6577999999999999,0.604,1.039,0.17745,0.05935,0.421
24,20,0.76,0.6395,1.13,0.19845000000000002,0.0681,0.49345
25,20,0.6784,0.634,1.012,0.16965,0.0673,0.44145
26,20,0.7281,0.617,1.236,0.18765,0.0707,0.46975
27,20,0.7582,0.632,1.077,0.18435,0.0863,0.48755
28,20,0.7563,0.6255,1.301,0.18165,0.08935,0.4853
29,20,0.76655,0.6365000000000001,1.373,0.1974,0.0673,0.50185
30,20,0.82925,0.752,1.341,0.31825,0.05945,0.45155
31,20,0.645,0.6265000000000001,0.758,0.16605,0.0611,0.41785
32,20,0.6605,0.6114999999999999,0.99,0.1562,0.0769,0.4274
33,20,0.65525,0.623,0.776,0.16845000000000002,0.06659999999999999,0.4202
34,20,0.71205,0.6265000000000001,1.261,0.19265000000000002,0.05835,0.46105
35,20,0.72,0.6285000000000001,1.254,0.18,0.0761,0.4639
36,20,0.6315,0.5974999999999999,0.73,0.1558,0.07025,0.40545
37,20,0.673,0.614,0.996,0.1754,0.06445,0.43315
38,20,0.6566,0.6105,0.806,0.1634,0.06615,0.42705
39,20,0.67255,0.624,1.027,0.16265,0.0766,0.4333
40,20,0.6959,0.621,0.997,0.16925,0.07755,0.4491
41,20,0.68895,0.6094999999999999,1.118,0.17295,0.0694,0.4466
42,20,0.6457499999999999,0.609,0.721,0.16140000000000002,0.07235,0.412
43,20,0.66825,0.6245,1.04,0.1714,0.07265,0.4242
44,20,0.61915,0.612,0.682,0.15935,0.0622,0.3976
45,20,0.6974,0.62,1.106,0.1708,0.07645,0.45015
46,20,0.7303499999999999,0.7324999999999999,0.804,0.28625,0.0437,0.4004
47,20,0.7765,0.711,1.356,0.3141,0.0454,0.417
