timestamp_s,cpu_percent,working_set_gb,private_gb,gpu_util_percent,gpu_mem_used_mb
0.269,3.810,0.295,0.433,10,1207
0.623,2.899,0.357,0.496,10,1207
0.967,2.556,0.357,0.587,10,1205
1.296,3.111,0.357,0.587,10,1191
1.639,3.134,0.357,0.587,10,1165
1.983,2.838,0.357,0.587,9,1114
2.326,2.992,0.357,0.667,9,1114
2.654,3.130,0.357,0.667,10,1114
2.996,2.994,0.357,0.667,11,1114
3.309,3.117,0.357,0.667,11,1110
3.650,3.157,0.357,0.667,10,1110
3.976,2.990,0.357,0.667,9,1110
4.304,3.125,0.357,0.667,9,1114
4.632,3.133,0.357,0.667,10,1103
4.973,3.149,0.357,0.667,10,1099
5.300,3.136,0.357,0.667,10,1101
5.613,3.116,0.710,5.031,15,5561
5.941,3.128,1.656,5.031,15,5561
6.268,3.131,2.639,5.031,23,5560
6.609,3.010,3.616,5.031,23,5560
6.949,3.158,4.606,5.031,23,5560
7.289,3.016,5.303,7.254,23,6804
7.611,2.886,6.244,7.289,23,6834
7.951,3.011,7.182,7.393,23,6841
8.277,3.148,8.123,7.393,26,6849
8.605,2.978,9.109,7.393,25,6849
8.948,3.130,10.050,7.394,25,6849
9.276,2.977,10.999,7.394,25,6845
9.592,2.939,11.905,7.394,25,6845
9.906,3.102,12.807,7.395,25,6846
10.236,2.968,13.795,7.327,24,6845
10.580,2.980,14.721,7.327,27,6844
10.905,3.156,15.699,7.327,27,6844
11.245,3.153,16.618,7.328,25,6839
11.569,3.168,17.567,7.328,27,6840
11.894,3.154,18.517,7.328,27,6840
12.236,3.002,19.496,7.329,27,6848
12.579,2.984,20.448,7.329,25,6848
12.920,3.150,21.363,7.329,25,6848
13.235,3.097,22.253,7.330,25,6845
13.562,3.144,23.175,7.330,25,6845
13.891,3.110,24.163,7.330,25,6846
14.234,2.995,25.144,7.331,25,6844
14.578,2.977,26.088,7.331,28,6847
14.893,2.948,27.022,7.331,28,6847
15.220,52.813,27.468,7.447,23,6874
15.579,74.499,28.062,7.447,27,6874
15.943,76.051,28.464,7.447,35,6878
16.303,71.861,28.895,7.447,35,6882
16.666,73.034,29.114,7.447,32,6884
17.025,73.715,29.280,7.447,34,6880
17.380,74.572,29.559,7.447,34,6880
17.734,70.328,29.793,7.447,35,6880
18.092,74.374,30.113,7.447,32,6876
18.448,73.764,30.333,7.447,34,6876
18.807,73.769,30.626,7.447,34,6876
19.164,74.544,30.759,7.447,33,6865
19.521,74.249,30.994,7.447,33,6865
19.879,73.655,31.198,7.447,33,6870
20.241,72.228,31.462,7.447,33,6874
20.594,70.167,31.744,7.447,30,6874
20.957,75.278,31.967,7.447,34,6874
21.317,70.765,32.102,7.448,34,6874
21.693,74.413,32.282,7.448,32,6874
22.052,73.879,32.432,7.448,33,6873
22.412,74.157,32.578,7.448,33,6869
22.770,74.090,32.733,7.448,33,6870
23.128,74.271,32.894,7.448,34,6860
23.487,72.227,33.068,7.448,33,6860
23.852,73.243,33.212,7.448,33,6860
24.214,72.893,33.317,7.448,32,6868
24.575,71.831,33.438,7.448,34,6868
24.935,74.492,33.558,7.448,33,6863
25.288,75.171,33.745,7.448,33,6863
25.661,74.121,33.868,7.448,33,6865
26.017,66.837,34.008,7.448,32,6859
26.374,74.120,34.175,7.448,32,6859
26.735,73.297,34.262,7.448,32,6960
27.097,73.813,34.388,7.448,34,6959
27.454,70.852,34.498,7.448,34,6959
27.815,74.161,34.597,7.448,34,6971
28.171,69.665,34.746,7.448,33,6960
28.514,73.824,34.950,7.448,33,6960
28.869,75.078,35.041,7.448,33,6960
29.224,74.456,35.111,7.448,35,6925
29.580,72.531,35.272,7.448,33,6925
29.936,72.020,35.363,7.448,34,6925
30.293,73.349,35.425,7.448,34,6877
30.651,74.850,35.563,7.448,33,6877
31.007,74.743,35.639,7.448,34,6877
31.365,74.620,35.689,7.448,34,6877
31.719,68.951,35.757,7.448,35,6866
32.078,73.919,35.797,7.448,34,6853
32.434,74.225,35.866,7.448,35,6862
32.794,73.553,35.933,7.448,35,6845
33.153,74.106,36.023,7.448,34,6845
33.514,72.452,36.093,7.448,34,6845
33.876,73.294,36.186,7.448,34,6845
34.239,74.286,36.317,7.448,34,6845
34.598,74.080,36.372,7.448,34,6845
34.962,73.562,36.513,7.448,34,6845
35.324,73.429,36.899,7.448,34,6835
35.688,72.899,37.007,7.448,33,6835
36.050,76.052,37.161,7.448,30,6835
36.409,73.195,37.222,7.448,30,6845
