run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,159.615,3.7767,163.392
0,1,240,158.737,4.0184,162.755
0,2,241,154.741,3.6442,158.386
0,3,242,148.633,4.4478,153.081
0,4,243,155.216,2.8577,158.073
0,5,244,147.858,3.2149,151.073
0,6,245,153.288,3.692,156.98
0,7,246,149.324,5.0549,154.379
0,8,247,153.343,3.8922,157.235
0,9,248,151.342,3.824,155.166
0,10,249,143.969,3.5271,147.496
0,11,250,155.158,3.5418,158.7
0,12,251,152.163,4.4617,156.625
0,13,252,155.419,3.3566,158.775
0,14,253,160.838,3.7461,164.584
0,15,254,162.617,3.361,165.978
0,16,255,171.189,3.1274,174.317
0,17,256,166.36,4.143,170.503
0,18,257,183.056,1.4105,184.467
0,19,258,180.195,3.9868,184.182
