layer,coarse_ngl10_primary_device,coarse_layer_elapsed_mean_ms,coarse_layer_p50_ms,coarse_attention_hc_ms,coarse_attn_residual_ffn_hc_ms,coarse_router_ms_scaled_split,coarse_routed_expert_merge_ms_scaled_split,coarse_shared_expert_ms,coarse_moe_shared_merge_ms,coarse_ffn_residual_next_prep_ms,coarse_observed_marker_worker_ms_partial,coarse_observed_marker_barrier_ms_lower_bound,native_expert_only_cpu_graph_ms,native_nonexpert_device,native_routed_expert_device,evidence
0,CPU,4.7154,4.6625,0.69085,0.2723,0.13539422950640256,0.7772557704935975,0.92815,0.01904999999999999,1.8923999999999999,0.31635,0.07590000000000002,0.82725,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
1,CPU,3.65985,3.6085000000000003,0.6963,0.28890000000000005,0.13684663692518875,0.9181033630748113,0.137,0.013150000000000018,1.46955,0.31315000000000004,0.08035,0.8118,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
2,CPU,3.4885,3.4295,0.6719,0.26715,0.1333602051686723,1.1508397948313278,0.13655000000000003,0.01509999999999997,1.1136,0.29874999999999996,0.08700000000000001,1.1584,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
3,CPU,3.3361,3.2744999999999997,0.6131,0.24795,0.12979661155226804,0.786303388447732,0.11994999999999997,0.01600000000000006,1.4229999999999998,0.284,0.08374999999999998,0.7136,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
4,CPU,3.73055,3.591,0.67895,0.2778,0.13409162234042554,1.0053083776595744,0.13819999999999996,0.021049999999999958,1.47515,0.29325000000000007,0.0942,0.9708,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
5,CPU,3.5002,3.4695,0.6817,0.30395,0.1378224294734403,0.7623775705265596,0.12894999999999995,0.01645000000000002,1.46895,0.29139999999999994,0.09040000000000001,0.76235,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
6,CPU,3.10265,2.9945,0.685,0.2925,0.13891757131214344,0.7935324286878566,0.1271,0.01295000000000005,1.0526499999999999,0.30855000000000005,0.0821,0.73645,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
7,CPU,3.32175,3.2775,0.5747,0.25165,0.12326163478928043,0.7738883652107196,0.12935,0.017299999999999992,1.4516,0.30755,0.0575,0.797,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
8,CPU,3.522,3.365,0.67375,0.2773,0.1353359735369489,0.8270140264630511,0.13720000000000004,0.01204999999999996,1.45935,0.3113,0.06875,0.75885,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
9,CPU,3.4614,3.339,0.68015,0.2724,0.1351150695560605,0.7855349304439394,0.13,0.011050000000000015,1.44715,0.30685,0.07859999999999999,0.71965,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
10,CPU,3.1682,3.0095,0.67335,0.26944999999999997,0.14305195910123703,0.848598040898763,0.13069999999999998,0.019199999999999995,1.08385,0.29934999999999995,0.07909999999999999,0.8119,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
11,CPU,3.27235,3.1755,0.5617,0.2756,0.12990754759238518,0.7436424524076147,0.11705,0.023450000000000016,1.421,0.29250000000000004,0.06670000000000001,0.7661,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
12,CPU,3.41585,3.3795,0.67805,0.2763,0.13233812371252002,0.7665118762874801,0.13320000000000004,0.01334999999999995,1.4161,0.30555,0.07735000000000002,0.70625,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
13,CPU,3.6199,3.599,0.69525,0.2733,0.1374121809987947,0.8517378190012053,0.14715,0.013399999999999978,1.5016500000000002,0.31295000000000006,0.0789,0.78175,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
14,CPU,3.1447,3.102,0.6811,0.29445,0.13804011887072803,0.7615598811292719,0.13475000000000004,0.01695000000000001,1.11785,0.32660000000000006,0.06345,0.68945,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
15,CPU,3.32835,3.3145,0.5722,0.26935,0.12368745830553704,0.7613125416944629,0.12395000000000003,0.015049999999999985,1.4628,0.3043,0.06305,0.6645,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
16,CPU,3.54035,3.5285,0.6697000000000001,0.28414999999999996,0.13432142049310108,0.7806785795068989,0.13770000000000002,0.03049999999999995,1.5033,0.299,0.07690000000000001,0.7344999999999999,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
17,CPU,3.5461,3.4814999999999996,0.6962,0.2741,0.14942712783899256,0.8224228721610074,0.13005,0.015350000000000008,1.45855,0.31429999999999997,0.07260000000000003,0.62065,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
18,CPU,3.067,2.979,0.68825,0.26625,0.14679560171044595,0.7566043982895541,0.12720000000000006,0.015149999999999964,1.06675,0.28545,0.09375000000000003,0.77435,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
19,CPU,3.3466,3.317,0.5929,0.264,0.1351021009117164,0.7685978990882836,0.12619999999999998,0.01465000000000003,1.44515,0.2948500000000001,0.08035,0.6955,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
20,CPU,3.5060000000000002,3.4595000000000002,0.6733,0.26355,0.14152946783161233,0.7865205321683876,0.13295000000000004,0.015050000000000008,1.4931,0.30710000000000004,0.0709,0.72345,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
21,CPU,3.54365,3.4465000000000003,0.68265,0.27599999999999997,0.13527296443670725,0.8370770355632927,0.12455000000000002,0.013849999999999996,1.47425,0.31315,0.06370000000000002,0.7811,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
22,CPU,3.13655,3.096,0.67515,0.284,0.14002199674380741,0.7728280032561926,0.13369999999999996,0.01665000000000001,1.1142,0.3155,0.06634999999999999,0.7343500000000001,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
