"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"2.019","2.78","0.357","8","531","16376"
"4.111","3.06","0.357","8","531","16376"
"6.197","2.83","2.108","22","13541","16376"
"8.277","3.03","7.29","18","13541","16376"
"10.37","3.06","11.925","19","13541","16376"
"12.439","13.27","14.46","100","15908","16376"
"14.519","6.08","14.46","100","15908","16376"
"16.597","6.09","14.46","100","15907","16376"
"18.69","6.21","14.39","100","15907","16376"
"20.76","6.08","14.39","100","15907","16376"
"22.828","17.78","14.907","100","15935","16376"
"24.896","5.98","14.907","100","15935","16376"
"26.964","5.93","14.907","100","15935","16376"
"29.057","6.02","14.907","100","15935","16376"
"31.133","6.02","14.907","100","15935","16376"
"33.212","6.04","14.907","100","15935","16376"
"35.276","6.01","14.943","100","15931","16376"
"37.348","6.03","14.943","100","15931","16376"
"39.412","6.12","14.943","100","15931","16376"
"41.481","6.07","14.943","100","15931","16376"
"43.556","6.14","14.943","100","15931","16376"
"45.629","6.1","14.943","100","15931","16376"
"47.711","6.03","14.943","100","15931","16376"
"49.776","6.12","14.942","100","15931","16376"
"51.851","6.07","14.942","100","15931","16376"
"53.916","6.15","14.942","100","15931","16376"
"55.984","6","14.942","100","15931","16376"
"58.066","5.89","14.942","100","15931","16376"
"60.153","6.2","14.942","100","15931","16376"
"62.243","6.03","14.942","100","15931","16376"
"64.306","6.04","14.942","100","15931","16376"
"66.386","6.2","14.942","100","15931","16376"
"68.461","5.88","14.942","100","15931","16376"
"70.533","5.98","14.942","100","15931","16376"
"72.6","5.86","14.942","100","15931","16376"
"74.665","5.93","14.942","100","15931","16376"
"76.741","5.98","14.942","100","15931","16376"
"78.825","6","14.942","100","15931","16376"
"80.892","6.17","14.942","100","15931","16376"
"82.968","15.87","15.903","100","15931","16376"
"85.044","6.12","15.903","100","15931","16376"
"87.111","5.93","15.903","100","15931","16376"
"89.18","5.99","15.903","100","15931","16376"
"91.256","6.12","15.903","100","15931","16376"
"93.332","6.14","15.903","100","15931","16376"
"95.415","5.9","15.903","100","15931","16376"
"97.478","6.58","16.279","100","15969","16376"
"99.59","21.44","16.634","100","15987","16376"
"101.711","13.23","16.905","100","15974","16376"
