"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.508","2.98","0.199","1","762","16376"
"1.101","2.55","0.357","4","979","16376"
"1.684","3.01","0.357","0","979","16376"
"2.255","3.16","0.357","0","979","16376"
"2.826","3.08","0.357","0","979","16376"
"3.398","2.99","0.357","0","979","16376"
"3.967","3.01","0.357","0","979","16376"
"4.538","3.08","0.357","0","979","16376"
"5.108","2.92","0.357","0","979","16376"
"5.679","3.07","0.74","0","5439","16376"
"6.249","3","2.497","15","5439","16376"
"6.819","3.17","4.277","15","5439","16376"
"7.404","3","4.786","0","7959","16376"
"7.972","35.77","6.743","13","8015","16376"
"8.586","73.87","9.33","18","8021","16376"
"9.188","74.29","11.121","28","8021","16376"
"9.79","73.5","12.824","28","8021","16376"
"10.394","75.04","15.013","25","8021","16376"
"10.995","73.61","16.4","33","8021","16376"
"11.593","73.79","17.984","29","8021","16376"
"12.195","74.86","19.192","29","8021","16376"
"12.798","74.75","20.097","35","8021","16376"
"13.411","73.85","20.734","37","8021","16376"
"14.029","72.32","21.502","35","8021","16376"
"14.645","75.36","22.021","35","8021","16376"
"15.261","73.66","22.381","42","8021","16376"
"15.864","75.09","22.881","37","8021","16376"
"16.463","73.56","23.469","35","8021","16376"
"17.067","75","23.771","40","8021","16376"
"17.653","72.67","24.351","38","8021","16376"
"18.256","75.15","24.771","34","8021","16376"
"18.857","73.52","25.234","38","8021","16376"
"19.458","73.79","25.454","42","8021","16376"
"20.062","71.36","25.878","40","8021","16376"
"20.659","75.6","26.225","36","8021","16376"
"21.262","73.43","26.435","41","8021","16376"
"21.847","75.02","26.595","41","8021","16376"
"22.449","71.88","26.939","39","8021","16376"
"23.056","74.69","27.131","40","8021","16376"
"23.672","72.46","27.423","38","8021","16376"
"24.273","75.1","27.617","38","8021","16376"
"24.877","74.13","27.951","38","8021","16376"
"25.465","72.9","28.884","34","8021","16376"
"26.068","74.09","29.239","35","8021","16376"
"26.683","73.84","29.445","39","8021","16376"
"27.289","73.58","29.586","42","8021","16376"
"27.905","73.1","29.734","39","8021","16376"
"28.507","74.32","29.922","40","8021","16376"
"29.109","73.38","30.127","36","8021","16376"
"29.724","75.79","30.228","38","8021","16376"
"30.326","73.25","30.376","40","8021","16376"
"30.922","72.43","30.777","39","8021","16376"
"31.52","75.56","30.83","42","8021","16376"
"32.107","72.53","30.899","40","8021","16376"
"32.709","74.97","31.023","37","8021","16376"
"33.314","74.49","31.118","39","8021","16376"
"33.927","74.09","31.304","40","8021","16376"
"34.54","73.44","31.486","38","8021","16376"
"35.155","73.74","31.574","41","8021","16376"
"35.769","75.48","31.748","38","8021","16376"
"36.371","73.21","31.941","39","8021","16376"
"36.972","75.03","32.073","39","8021","16376"
"37.575","73.11","32.248","38","8021","16376"
"38.175","75.04","32.338","38","8021","16376"
"38.79","73.74","32.51","38","8021","16376"
"39.391","74.04","32.691","39","8021","16376"
"39.993","73.01","32.764","40","8021","16376"
"40.596","74.16","32.807","38","8021","16376"
"41.197","73.26","32.874","39","8021","16376"
"41.8","73.62","32.96","38","8021","16376"
"42.387","72.95","33.003","37","8021","16376"
"42.991","74.59","33.092","38","8021","16376"
"43.593","73.36","33.162","39","8021","16376"
"44.195","74.82","33.252","41","8021","16376"
"44.795","73.08","33.306","40","8021","16376"
"45.395","75.5","33.401","39","8021","16376"
"45.997","73.42","33.506","37","8021","16376"
"46.6","74.61","33.565","39","8021","16376"
"47.203","72.92","33.613","40","8021","16376"
"47.785","73.77","33.678","39","8021","16376"
"48.374","73.04","33.734","40","8021","16376"
"48.977","74.88","33.804","40","8021","16376"
"49.579","75.49","33.864","40","8021","16376"
"50.184","73.08","33.91","42","8021","16376"
"50.784","74.72","33.975","38","8021","16376"
"51.4","73.51","34.047","35","8021","16376"
"52.001","74.7","34.145","39","8021","16376"
"52.605","72.88","34.22","40","8021","16376"
"53.206","75.31","34.298","39","8021","16376"
"53.819","73.57","34.367","38","8021","16376"
"54.406","72.77","34.459","39","8021","16376"
"55.006","74.92","34.619","39","8021","16376"
"55.61","74.79","34.737","38","8021","16376"
"56.211","73.3","34.813","40","8021","16376"
"56.812","72.8","34.847","41","8021","16376"
"57.416","73.93","34.867","40","8021","16376"
"58.031","73.59","35.142","39","8021","16376"
"58.616","74.79","35.404","40","8021","16376"
"59.203","72.46","35.806","35","8021","16376"
"59.806","74.81","35.976","39","8021","16376"
"60.422","73.66","36.006","39","8021","16376"
"61.022","74.74","36.058","39","8021","16376"
"61.623","72.97","36.104","41","8021","16376"
"62.237","75.63","36.143","39","8021","16376"
"62.84","73.32","36.125","37","5243","16376"
"63.424","18.22","31.716","0","1039","16376"
"63.995","3.08","26.695","0","1039","16376"
"64.564","3.18","21.8","0","1039","16376"
"65.136","3.07","16.867","0","1039","16376"
"65.703","3.01","12.022","0","1039","16376"
"66.277","2.98","7.135","0","1039","16376"
"66.839","3.04","2.398","0","1039","16376"
"67.404","2.07","0","1","760","16376"
