trace,workload,budget_gb,capacity_slots,static_slots,static_gb,dynamic_slots,policy,hit_rate,miss_rate,bytes_h2d_per_token,promotions_per_token,evictions_per_token,cache_churn_per_token,cpu_direct_experts_per_token,average_residency_tokens,p50_misses_per_layer,p95_misses_per_layer,projected_routed_moe_p50_ms,projected_routed_moe_p95_ms,band_0_to_4,band_5_to_7,band_8_to_10
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,0,0.0,723,LRU,0.3702005208333333,0.6297994791666667,835809408.0,302.30375,302.30375,604.6075,0.0,2.3261595415127694,6.0,10.0,40.44744250000001,60.90915374999998,0.27544270833333334,0.35494791666666664,0.369609375
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,0,0.0,723,CLOCK,0.3618385416666667,0.6381614583333334,846906624.0,306.3175,306.3175,612.635,0.0,2.295381299113144,7.0,10.0,40.97959375000002,61.86602624999998,0.26697916666666666,0.34796875,0.38505208333333335
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,0,0.0,723,LFU,0.02396875,0.97603125,1295294976.0,468.495,468.495,936.99,0.0,1.5594117929599298,10.0,10.0,59.74113999999994,67.6032,0.004427083333333333,0.019505208333333333,0.9760677083333333
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,723,1.9989504,0,Static Hot (universal),0.17933333333333334,0.8206666666666667,1089110016.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,50.90173499999998,64.30499999999999,0.05651041666666667,0.24513020833333332,0.698359375
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,361,0.9980928,362,Static Hot + CLOCK (universal),0.12586197916666667,0.8741380208333334,1160072064.0,419.58625,419.58625,839.1725,0.0,0.8774206561852899,9.0,10.0,53.94340999999996,65.80866375,0.029427083333333333,0.16395833333333334,0.8066145833333334
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,361,0.9980928,362,Static Hot + LRU (universal),0.124109375,0.875890625,1162397952.0,420.4275,420.4275,840.855,0.0,0.8752072464609377,9.0,10.0,53.94341374999996,65.80866375,0.02875,0.160703125,0.810546875
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,361,0.9980928,362,Frequency promotion (universal),0.2140859375,0.7859140625,1042989696.0,330.70125,330.70125,661.4025,0.0,1.139260152258924,8.0,10.0,48.96777499999998,65.52050374999999,0.09778645833333334,0.2698697916666667,0.63234375
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,361,0.9980928,362,Hybrid policy (universal),0.269890625,0.730109375,773528832.0,279.7775,279.7775,559.555,70.675,1.3372792856966647,8.0,10.0,36.963560937500006,59.10098124999998,0.129296875,0.35088541666666667,0.5198177083333333
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,723,1.9989504,0,Static Hot (adaptive),0.178421875,0.821578125,1090319616.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,50.46480374999997,64.49574999999999,0.047213541666666664,0.245546875,0.7072395833333334
results\integration-gate\traces\zh_technical.bin,zh_technical,2,723,361,0.9980928,362,Static Hot + CLOCK (adaptive),0.10449479166666667,0.8955052083333334,1188428544.0,429.8425,429.8425,859.685,0.0,0.8735999723173143,9.0,10.0,54.98701749999996,65.73808874999999,0.014348958333333333,0.12216145833333333,0.8634895833333334
