Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.3,17846463967,68636,260016.1,174777.0,2844,6358726,284752.0,cudaMemcpyAsync
4.9,945972557,917,1031594.9,843531.0,233,4514171,1141446.7,cudaStreamSynchronize
0.9,166982524,1,166982524.0,166982524.0,166982524,166982524,0.0,cudaProfilerStart
0.8,144064906,20710,6956.3,3807.0,2410,6106499,58382.7,cudaLaunchKernel
0.1,16079192,2,8039596.0,8039596.0,2390922,13688270,7988431.4,cudaFree
0.0,5599810,784,7142.6,5073.5,3189,70496,5393.1,cudaMemcpy2DAsync
0.0,3782852,236,16029.0,14691.0,5654,161964,13407.4,cudaMemsetAsync
0.0,373857,4,93464.3,94582.0,69206,115487,18942.0,cuMemCreate
0.0,195580,4,48895.0,26168.5,3259,139984,61778.2,cudaMalloc
0.0,96975,834,116.3,79.0,42,8263,314.0,cuGetProcAddress_v2
0.0,63707,4,15926.8,16252.5,11418,19784,4428.4,cuMemSetAccess
0.0,28243,18,1569.1,331.5,167,9966,3066.7,cudaEventCreateWithFlags
0.0,27696,24,1154.0,989.5,776,4610,753.3,cudaStreamIsCapturing_v10000
0.0,21286,1,21286.0,21286.0,21286,21286,0.0,cuMemAddressReserve
0.0,18133,4,4533.3,4604.0,3213,5712,1289.1,cuMemMap
0.0,3540,2,1770.0,1770.0,1595,1945,247.5,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2639,2,1319.5,1319.5,587,2052,1035.9,cuInit
0.0,2064,2,1032.0,1032.0,469,1595,796.2,cudaGetDriverEntryPoint_v11030
0.0,686,4,171.5,170.5,157,188,12.8,cuMemRelease
0.0,482,2,241.0,241.0,97,385,203.6,cuDeviceGetLuid
0.0,276,2,138.0,138.0,104,172,48.1,cuModuleGetLoadingMode
