Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.2,289383683,368,786368.7,791581.0,439414,1642874,198569.6,"void mul_mat_q<(ggml_type)21, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
19.5,207848589,172,1208422.0,1207188.0,805837,2331625,216312.6,"void mul_mat_q<(ggml_type)20, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
11.5,122479364,1592,76934.3,45966.5,12448,1459806,125813.2,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
10.6,113243467,144,786413.0,723551.0,688272,1250883,128414.2,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, float, long long, int)"
7.4,78595252,564,139353.3,145468.0,90654,152956,15562.6,"void mm_ids_helper<(int)0>(const int *, int *, int *, int *, int, int, int, int, int, bool)"
3.3,34883896,1322,26387.2,18527.0,1151,378487,31631.2,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
2.6,28148516,2306,12206.6,5504.0,1120,311225,18275.6,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
2.0,20789082,668,31121.4,40463.5,6047,679888,37202.4,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)
1.5,15827534,380,41651.4,41023.0,34751,262330,11385.3,"void mul_mat_q<(ggml_type)8, (int)128, (bool)1>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.3,13579072,394,34464.6,33023.0,1920,278170,18788.1,"void rms_norm_f32<(int)1024, (bool)0, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
1.2,13230785,2144,6171.1,3488.0,1439,293753,7392.4,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)"
1.2,12382786,574,21572.8,22463.0,1056,297849,19074.0,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)"
1.1,11235153,148,75913.2,75934.5,70558,79934,2243.9,"void concat_non_cont<unsigned int, (int)0>(const char *, const char *, char *, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
0.9,10021556,48,208782.4,226378.5,94333,715503,107590.8,"void flash_attn_ext_f16<(int)256, (int)256, (int)8, (int)8, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
0.8,8282396,204,40600.0,36031.0,32031,314329,23220.1,"void k_argsort_f32_i32<(ggml_sort_order)1>(const float *, int *, int, int)"
0.8,8119774,376,21595.1,19055.5,2367,57599,19264.5,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)"
0.7,7952421,336,23667.9,28943.0,1536,333240,24213.8,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
0.7,7056412,200,35282.1,34976.0,4224,232922,20504.7,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_32x6_tn_align4>(T1::Params)
0.6,5996829,386,15535.8,15615.0,1183,30271,1524.8,"void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.4,4583924,376,12191.3,11728.0,10431,16800,1505.0,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)1>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)"
0.4,4387751,1645,2667.3,1312.0,959,7680,2426.8,"scale_f32(const float *, float *, float, float, long long)"
0.4,4095679,616,6648.8,6559.0,6272,11232,392.2,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.4,3996324,144,27752.3,27360.0,26655,33568,952.2,"void ssm_conv_long_token_f32<(bool)1, (unsigned long long)128, (unsigned long long)4, (long long)32>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long long)"
0.4,3930700,232,16942.7,1279.5,1215,118333,33842.9,"void reduce_rows_f32<(bool)0>(const float *, float *, int)"
0.4,3869061,64,60454.1,42463.0,40479,372888,55351.3,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.4,3822569,380,10059.4,10016.0,9408,10912,244.3,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)1>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.3,3624428,8,453053.5,419575.0,404598,569330,71753.3,"void mul_mat_q<(ggml_type)23, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.3,2762654,343,8054.4,12864.0,1312,13824,5755.5,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long long, long long, uint3, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
0.3,2715041,189,14365.3,14240.0,1376,25727,1693.3,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.1,1557858,288,5409.2,5408.0,5120,5984,163.9,"void l2_norm_f32<(int)32>(const float *, float *, int, long long, long long, long long, float)"
0.1,1187204,12,98933.7,99261.5,94781,99709,1339.0,"void cub::CUB_200200_890_NS::DeviceSegmentedSortFallbackKernel<(bool)1, cub::CUB_200200_890_NS::DeviceSegmentedSortPolicy<float, int>::Policy860, float, int, int *, int *, int>(const T3 *, T3 *, cub::CUB_200200_890_NS::detail::device_double_buffer<T3>, const T4 *, T4 *, cub::CUB_200200_890_NS::detail::device_double_buffer<T4>, T5, T6)"
0.1,1182274,12,98522.8,98861.5,95229,99165,1064.7,"void cub::CUB_200200_890_NS::DeviceSegmentedSortKernelLarge<(bool)1, cub::CUB_200200_890_NS::DeviceSegmentedSortPolicy<float, int>::Policy860, float, int, int *, int *, int>(const unsigned int *, const T3 *, T3 *, cub::CUB_200200_890_NS::detail::device_double_buffer<T3>, const T4 *, T4 *, cub::CUB_200200_890_NS::detail::device_double_buffer<T4>, T5, T6)"
