evidence,source_trace,chunk_size,chunk_index,layer,tokens_observed,routed_assignments,unique_experts,mean_tokens_per_active_expert,p50_tokens_per_active_expert,p95_tokens_per_active_expert,max_tokens_per_active_expert,experts_with_1,experts_with_2_3,experts_with_4_7,experts_with_8_15,experts_with_16_31,experts_with_32_63,experts_with_64_plus
Measured,prefill-1024.sstrace,16,0,0,16,160,118,1.3559322033898304,1.0,3.0,5,89,25,4,0,0,0,0
Measured,prefill-1024.sstrace,16,1,0,16,160,119,1.3445378151260505,1.0,3.0,4,88,29,2,0,0,0,0
Measured,prefill-1024.sstrace,16,2,0,16,160,104,1.5384615384615385,1.0,3.0,8,67,32,4,1,0,0,0
Measured,prefill-1024.sstrace,16,3,0,16,160,119,1.3445378151260505,1.0,2.0999999999999943,5,89,26,4,0,0,0,0
Measured,prefill-1024.sstrace,16,4,0,16,160,119,1.3445378151260505,1.0,2.0999999999999943,8,91,25,2,1,0,0,0
Measured,prefill-1024.sstrace,16,5,0,16,160,108,1.4814814814814814,1.0,3.0,6,74,32,2,0,0,0,0
Measured,prefill-1024.sstrace,16,6,0,16,160,130,1.2307692307692308,1.0,2.0,6,109,19,2,0,0,0,0
Measured,prefill-1024.sstrace,16,7,0,16,160,110,1.4545454545454546,1.0,3.0,6,74,32,4,0,0,0,0
Measured,prefill-1024.sstrace,16,8,0,16,160,121,1.322314049586777,1.0,3.0,4,92,27,2,0,0,0,0
Measured,prefill-1024.sstrace,16,9,0,16,160,103,1.5533980582524272,1.0,3.0,8,66,32,4,1,0,0,0
Measured,prefill-1024.sstrace,16,10,0,16,160,118,1.3559322033898304,1.0,3.0,4,86,29,3,0,0,0,0
Measured,prefill-1024.sstrace,16,11,0,16,160,119,1.3445378151260505,1.0,2.0999999999999943,8,89,29,0,1,0,0,0
Measured,prefill-1024.sstrace,16,12,0,16,160,109,1.4678899082568808,1.0,3.0,5,73,34,2,0,0,0,0
Measured,prefill-1024.sstrace,16,13,0,16,160,128,1.25,1.0,2.0,5,104,23,1,0,0,0,0
Measured,prefill-1024.sstrace,16,14,0,16,160,110,1.4545454545454546,1.0,3.0,6,73,34,3,0,0,0,0
Measured,prefill-1024.sstrace,16,15,0,16,160,119,1.3445378151260505,1.0,3.0,4,88,29,2,0,0,0,0
Measured,prefill-1024.sstrace,16,16,0,16,160,103,1.5533980582524272,1.0,3.0,8,64,35,3,1,0,0,0
Measured,prefill-1024.sstrace,16,17,0,16,160,118,1.3559322033898304,1.0,3.0,4,88,26,4,0,0,0,0
Measured,prefill-1024.sstrace,16,18,0,16,160,117,1.3675213675213675,1.0,3.0,8,86,30,0,1,0,0,0
Measured,prefill-1024.sstrace,16,19,0,16,160,107,1.4953271028037383,1.0,3.0,5,70,34,3,0,0,0,0
Measured,prefill-1024.sstrace,16,20,0,16,160,125,1.28,1.0,2.799999999999997,5,99,25,1,0,0,0,0
Measured,prefill-1024.sstrace,16,21,0,16,160,107,1.4953271028037383,1.0,3.0,6,68,36,3,0,0,0,0
Measured,prefill-1024.sstrace,16,22,0,16,160,118,1.3559322033898304,1.0,3.0,4,87,28,3,0,0,0,0
Measured,prefill-1024.sstrace,16,23,0,16,160,103,1.5533980582524272,1.0,3.0,8,64,35,3,1,0,0,0
Measured,prefill-1024.sstrace,16,24,0,16,160,121,1.322314049586777,1.0,3.0,4,92,26,3,0,0,0,0
Measured,prefill-1024.sstrace,16,25,0,16,160,117,1.3675213675213675,1.0,3.0,7,85,31,1,0,0,0,0
Measured,prefill-1024.sstrace,16,26,0,16,160,110,1.4545454545454546,1.0,3.0,4,73,35,2,0,0,0,0
Measured,prefill-1024.sstrace,16,27,0,16,160,127,1.2598425196850394,1.0,2.0,4,101,25,1,0,0,0,0
Measured,prefill-1024.sstrace,16,28,0,16,160,110,1.4545454545454546,1.0,3.0,5,72,35,3,0,0,0,0
Measured,prefill-1024.sstrace,16,29,0,16,160,120,1.3333333333333333,1.0,3.0,4,90,28,2,0,0,0,0
Measured,prefill-1024.sstrace,16,30,0,16,160,103,1.5533980582524272,1.0,3.0,8,64,35,3,1,0,0,0
Measured,prefill-1024.sstrace,16,31,0,16,160,120,1.3333333333333333,1.0,3.0,4,91,25,4,0,0,0,0
Measured,prefill-1024.sstrace,16,32,0,16,160,118,1.3559322033898304,1.0,3.0,7,87,30,1,0,0,0,0
Measured,prefill-1024.sstrace,16,33,0,16,160,110,1.4545454545454546,1.0,3.0,4,72,36,2,0,0,0,0
Measured,prefill-1024.sstrace,16,34,0,16,160,125,1.28,1.0,2.799999999999997,4,98,26,1,0,0,0,0
Measured,prefill-1024.sstrace,16,35,0,16,160,109,1.4678899082568808,1.0,3.0,5,70,36,3,0,0,0,0
Measured,prefill-1024.sstrace,16,36,0,16,160,118,1.3559322033898304,1.0,3.0,4,86,30,2,0,0,0,0
Measured,prefill-1024.sstrace,16,37,0,16,160,103,1.5533980582524272,1.0,3.0,7,62,38,3,0,0,0,0
Measured,prefill-1024.sstrace,16,38,0,16,160,120,1.3333333333333333,1.0,3.0,4,90,27,3,0,0,0,0
Measured,prefill-1024.sstrace,16,39,0,16,160,117,1.3675213675213675,1.0,3.0,6,84,32,1,0,0,0,0
Measured,prefill-1024.sstrace,16,40,0,16,160,110,1.4545454545454546,1.0,3.0,4,72,36,2,0,0,0,0
Measured,prefill-1024.sstrace,16,41,0,16,160,123,1.3008130081300813,1.0,3.0,4,96,26,1,0,0,0,0
Measured,prefill-1024.sstrace,16,42,0,16,160,110,1.4545454545454546,1.0,3.0,5,71,36,3,0,0,0,0
Measured,prefill-1024.sstrace,16,43,0,16,160,117,1.3675213675213675,1.0,3.0,4,86,29,2,0,0,0,0
Measured,prefill-1024.sstrace,16,44,0,16,160,104,1.5384615384615385,1.0,3.0,6,63,38,3,0,0,0,0
Measured,prefill-1024.sstrace,16,45,0,16,160,120,1.3333333333333333,1.0,3.0,4,91,26,3,0,0,0,0
Measured,prefill-1024.sstrace,16,46,0,16,160,117,1.3675213675213675,1.0,3.0,6,84,32,1,0,0,0,0
Measured,prefill-1024.sstrace,16,47,0,16,160,110,1.4545454545454546,1.0,3.0,4,72,36,2,0,0,0,0
Measured,prefill-1024.sstrace,16,48,0,16,160,123,1.3008130081300813,1.0,3.0,4,96,26,1,0,0,0,0
Measured,prefill-1024.sstrace,16,49,0,16,160,110,1.4545454545454546,1.0,3.0,5,71,36,3,0,0,0,0
Measured,prefill-1024.sstrace,16,50,0,16,160,116,1.3793103448275863,1.0,3.0,4,84,30,2,0,0,0,0
Measured,prefill-1024.sstrace,16,51,0,16,160,103,1.5533980582524272,1.0,3.0,7,62,38,3,0,0,0,0
Measured,prefill-1024.sstrace,16,52,0,16,160,119,1.3445378151260505,1.0,3.0,4,90,26,3,0,0,0,0
Measured,prefill-1024.sstrace,16,53,0,16,160,118,1.3559322033898304,1.0,3.0,5,85,32,1,0,0,0,0
Measured,prefill-1024.sstrace,16,54,0,16,160,109,1.4678899082568808,1.0,3.0,4,70,37,2,0,0,0,0
Measured,prefill-1024.sstrace,16,55,0,16,160,123,1.3008130081300813,1.0,3.0,3,95,28,0,0,0,0,0
Measured,prefill-1024.sstrace,16,56,0,16,160,110,1.4545454545454546,1.0,3.0,4,70,37,3,0,0,0,0
Measured,prefill-1024.sstrace,16,57,0,16,160,116,1.3793103448275863,1.0,3.0,4,84,30,2,0,0,0,0
Measured,prefill-1024.sstrace,16,58,0,16,160,104,1.5384615384615385,1.0,3.0,6,63,38,3,0,0,0,0
Measured,prefill-1024.sstrace,16,59,0,16,160,119,1.3445378151260505,1.0,3.0,4,90,26,3,0,0,0,0
Measured,prefill-1024.sstrace,16,60,0,16,160,118,1.3559322033898304,1.0,3.0,5,85,32,1,0,0,0,0
Measured,prefill-1024.sstrace,16,61,0,16,160,109,1.4678899082568808,1.0,3.0,4,70,38,1,0,0,0,0
Measured,prefill-1024.sstrace,16,62,0,16,160,123,1.3008130081300813,1.0,3.0,3,95,28,0,0,0,0,0
Measured,prefill-1024.sstrace,16,63,0,16,160,110,1.4545454545454546,1.0,3.0,4,70,38,2,0,0,0,0
Measured,prefill-1024.sstrace,16,0,1,16,160,89,1.797752808988764,1.0,4.0,13,53,28,7,1,0,0,0
Measured,prefill-1024.sstrace,16,1,1,16,160,86,1.8604651162790697,1.0,5.0,10,53,24,7,2,0,0,0
Measured,prefill-1024.sstrace,16,2,1,16,160,90,1.7777777777777777,1.0,4.549999999999997,6,48,35,7,0,0,0,0
Measured,prefill-1024.sstrace,16,3,1,16,160,83,1.927710843373494,1.0,4.8999999999999915,9,48,27,6,2,0,0,0
Measured,prefill-1024.sstrace,16,4,1,16,160,104,1.5384615384615385,1.0,3.0,5,69,30,5,0,0,0,0
Measured,prefill-1024.sstrace,16,5,1,16,160,84,1.9047619047619047,1.0,4.0,9,50,26,7,1,0,0,0
Measured,prefill-1024.sstrace,16,6,1,16,160,109,1.4678899082568808,1.0,3.0,6,76,30,3,0,0,0,0
Measured,prefill-1024.sstrace,16,7,1,16,160,98,1.6326530612244898,1.0,3.1499999999999915,7,61,32,5,0,0,0,0
Measured,prefill-1024.sstrace,16,8,1,16,160,94,1.702127659574468,1.0,4.0,8,63,25,5,1,0,0,0
Measured,prefill-1024.sstrace,16,9,1,16,160,101,1.5841584158415842,1.0,3.0,6,63,33,5,0,0,0,0
Measured,prefill-1024.sstrace,16,10,1,16,160,91,1.7582417582417582,1.0,4.0,8,59,24,7,1,0,0,0
Measured,prefill-1024.sstrace,16,11,1,16,160,106,1.509433962264151,1.0,3.75,5,71,29,6,0,0,0,0
Measured,prefill-1024.sstrace,16,12,1,16,160,89,1.797752808988764,1.0,4.599999999999994,8,54,28,6,1,0,0,0
Measured,prefill-1024.sstrace,16,13,1,16,160,113,1.415929203539823,1.0,3.0,4,81,27,5,0,0,0,0
Measured,prefill-1024.sstrace,16,14,1,16,160,101,1.5841584158415842,1.0,3.0,6,61,36,4,0,0,0,0
Measured,prefill-1024.sstrace,16,15,1,16,160,99,1.6161616161616161,1.0,3.0999999999999943,7,68,26,5,0,0,0,0
Measured,prefill-1024.sstrace,16,16,1,16,160,101,1.5841584158415842,1.0,3.0,6,60,36,5,0,0,0,0
Measured,prefill-1024.sstrace,16,17,1,16,160,95,1.6842105263157894,1.0,3.299999999999997,8,62,28,4,1,0,0,0
Measured,prefill-1024.sstrace,16,18,1,16,160,109,1.4678899082568808,1.0,3.0,5,74,31,4,0,0,0,0
Measured,prefill-1024.sstrace,16,19,1,16,160,88,1.8181818181818181,1.0,4.6499999999999915,8,53,28,5,2,0,0,0
Measured,prefill-1024.sstrace,16,20,1,16,160,114,1.4035087719298245,1.0,3.0,4,80,31,3,0,0,0,0
Measured,prefill-1024.sstrace,16,21,1,16,160,100,1.6,1.0,3.049999999999997,6,60,35,5,0,0,0,0
Measured,prefill-1024.sstrace,16,22,1,16,160,95,1.6842105263157894,1.0,4.0,9,64,25,4,2,0,0,0
Measured,prefill-1024.sstrace,16,23,1,16,160,102,1.5686274509803921,1.0,3.0,6,61,36,5,0,0,0,0
Measured,prefill-1024.sstrace,16,24,1,16,160,93,1.7204301075268817,1.0,3.3999999999999915,8,59,29,3,2,0,0,0
Measured,prefill-1024.sstrace,16,25,1,16,160,110,1.4545454545454546,1.0,3.0,5,75,32,3,0,0,0,0
Measured,prefill-1024.sstrace,16,26,1,16,160,88,1.8181818181818181,1.0,4.6499999999999915,8,51,31,5,1,0,0,0
Measured,prefill-1024.sstrace,16,27,1,16,160,112,1.4285714285714286,1.0,3.0,5,76,34,2,0,0,0,0
Measured,prefill-1024.sstrace,16,28,1,16,160,103,1.5533980582524272,1.0,3.0,6,64,35,4,0,0,0,0
Measured,prefill-1024.sstrace,16,29,1,16,160,94,1.702127659574468,1.0,3.3499999999999943,9,60,29,3,2,0,0,0
Measured,prefill-1024.sstrace,16,30,1,16,160,102,1.5686274509803921,1.0,3.0,6,60,38,4,0,0,0,0
Measured,prefill-1024.sstrace,16,31,1,16,160,95,1.6842105263157894,1.0,4.0,9,61,28,5,1,0,0,0
Measured,prefill-1024.sstrace,16,32,1,16,160,109,1.4678899082568808,1.0,3.0,5,72,34,3,0,0,0,0
Measured,prefill-1024.sstrace,16,33,1,16,160,90,1.7777777777777777,1.0,4.549999999999997,8,55,27,7,1,0,0,0
Measured,prefill-1024.sstrace,16,34,1,16,160,112,1.4285714285714286,1.0,3.0,5,76,34,2,0,0,0,0
Measured,prefill-1024.sstrace,16,35,1,16,160,104,1.5384615384615385,1.0,3.8499999999999943,5,66,32,6,0,0,0,0
Measured,prefill-1024.sstrace,16,36,1,16,160,95,1.6842105263157894,1.0,4.0,9,61,28,5,1,0,0,0
Measured,prefill-1024.sstrace,16,37,1,16,160,102,1.5686274509803921,1.0,3.0,6,61,36,5,0,0,0,0
Measured,prefill-1024.sstrace,16,38,1,16,160,97,1.6494845360824741,1.0,4.0,9,65,26,5,1,0,0,0
Measured,prefill-1024.sstrace,16,39,1,16,160,111,1.4414414414414414,1.0,3.0,5,77,30,4,0,0,0,0
Measured,prefill-1024.sstrace,16,40,1,16,160,91,1.7582417582417582,1.0,4.5,8,57,26,7,1,0,0,0
Measured,prefill-1024.sstrace,16,41,1,16,160,113,1.415929203539823,1.0,3.0,5,78,33,2,0,0,0,0
Measured,prefill-1024.sstrace,16,42,1,16,160,104,1.5384615384615385,1.0,3.8499999999999943,5,67,31,6,0,0,0,0
Measured,prefill-1024.sstrace,16,43,1,16,160,95,1.6842105263157894,1.0,4.0,9,61,28,5,1,0,0,0
Measured,prefill-1024.sstrace,16,44,1,16,160,104,1.5384615384615385,1.0,3.0,6,64,35,5,0,0,0,0
Measured,prefill-1024.sstrace,16,45,1,16,160,96,1.6666666666666667,1.0,4.0,9,63,27,5,1,0,0,0
Measured,prefill-1024.sstrace,16,46,1,16,160,110,1.4545454545454546,1.0,3.0,5,75,31,4,0,0,0,0
Measured,prefill-1024.sstrace,16,47,1,16,160,91,1.7582417582417582,1.0,4.5,8,57,26,7,1,0,0,0
Measured,prefill-1024.sstrace,16,48,1,16,160,112,1.4285714285714286,1.0,3.0,5,77,32,3,0,0,0,0
Measured,prefill-1024.sstrace,16,49,1,16,160,103,1.5533980582524272,1.0,4.0,5,66,30,7,0,0,0,0
Measured,prefill-1024.sstrace,16,50,1,16,160,95,1.6842105263157894,1.0,4.0,9,62,27,5,1,0,0,0
Measured,prefill-1024.sstrace,16,51,1,16,160,104,1.5384615384615385,1.0,3.0,6,64,35,5,0,0,0,0
