"elapsed_s","cpu_percent","working_set_gib","private_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"1.008","2.81","0.357","0.587","6","1006","16376"
"2.11","3.06","0.357","0.587","6","1006","16376"
"3.182","3.1","0.357","0.667","6","997","16376"
"4.272","3","0.357","0.667","6","1004","16376"
"5.36","2.96","0.357","0.667","6","1004","16376"
"6.437","2.86","3.087","5.031","19","5464","16376"
"7.511","2.86","5.902","8.597","21","8035","16376"
"8.6","2.87","8.933","8.7","26","8046","16376"
"9.692","2.91","11.907","8.702","27","8046","16376"
"10.765","3","14.91","8.633","30","8039","16376"
"11.854","2.96","17.881","8.632","25","8033","16376"
"12.93","3.04","21","8.633","24","8046","16376"
"14.004","3.05","24.071","8.634","29","8046","16376"
"15.077","3.1","27.097","8.635","26","8033","16376"
"16.139","3.08","30.062","8.635","29","8033","16376"
"17.202","3.08","32.181","8.636","22","8046","16376"
"18.296","3.13","33.463","8.636","40","8046","16376"
"19.374","3.08","34.718","8.636","43","8033","16376"
"20.448","3.09","35.659","8.636","47","8046","16376"
"21.526","2.85","36.383","8.637","50","8046","16376"
"22.601","3.13","37.171","8.637","46","8039","16376"
"23.676","2.95","37.683","8.643","50","8039","16376"
"24.764","3.01","38.2","8.643","47","8052","16376"
"25.84","3.13","38.733","8.643","47","8052","16376"
"26.914","10.14","39.143","8.674","54","8046","16376"
"27.991","2.86","39.507","8.674","53","8044","16376"
"29.068","2.99","39.876","8.674","50","8056","16376"
"30.136","3.11","40.148","8.684","55","8066","16376"
"31.21","3","40.51","8.684","50","8058","16376"
"32.303","2.99","40.691","8.689","54","8068","16376"
"33.385","3.02","40.937","8.689","52","8069","16376"
"34.477","3","41.195","8.689","54","8069","16376"
"35.564","3.01","41.354","8.695","54","8061","16376"
"36.642","3.13","41.592","8.695","52","8074","16376"
"37.718","10.03","41.78","8.699","54","8078","16376"
"38.783","2.84","41.94","8.699","54","8071","16376"
"39.855","3.05","42.13","8.699","53","8065","16376"
"40.917","2.99","42.267","8.705","58","8084","16376"
"41.989","2.96","42.461","8.705","52","8084","16376"
"43.079","3.09","42.629","8.705","55","8077","16376"
