# gpu  rxpci  txpci 
# Idx   MB/s   MB/s 
    0     15      7 
    0     12     11 
    0     17      7 
    0     17     11 
    0     14     11 
    0     14     12 
    0     16     12 
    0   7059    764 
    0   1354    172 
    0   1249     18 
    0   5790    657 
    0   5841    587 
    0   6018    458 
    0    630     76 
    0    852     85 
    0    971     84 
    0    769    133 
    0    804    198 
    0   1122     76 
    0   1009     94 
    0   1227    138 
    0   1012    148 
    0   1121    175 
    0   1084     94 
    0   1643    196 
    0    971    108 
    0   1183    153 
    0   1426    208 
    0   1625    129 
    0   1185    166 
