evidence,source_trace,chunk_size,chunk_index,layer,tokens_observed,routed_assignments,unique_experts,mean_tokens_per_active_expert,p50_tokens_per_active_expert,p95_tokens_per_active_expert,max_tokens_per_active_expert,experts_with_1,experts_with_2_3,experts_with_4_7,experts_with_8_15,experts_with_16_31,experts_with_32_63,experts_with_64_plus
Measured,prefill-16k.sstrace,1024,0,0,1024,10240,352,29.09090909090909,3.0,17.0,887,51,131,106,44,6,1,13
Measured,prefill-16k.sstrace,1024,1,0,1024,10240,12,853.3333333333334,1024.0,1024.0,1024,0,0,1,0,0,0,11
Measured,prefill-16k.sstrace,1024,2,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,3,0,1024,10240,229,44.71615720524017,2.0,9.599999999999994,967,62,100,53,4,0,0,10
Measured,prefill-16k.sstrace,1024,4,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,5,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,6,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,7,0,1024,10240,211,48.53080568720379,2.0,79.0,983,79,94,25,2,0,0,11
Measured,prefill-16k.sstrace,1024,8,0,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,9,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,10,0,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,11,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,12,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,13,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,14,0,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,15,0,1003,10030,228,43.99122807017544,2.0,92.799999999997,955,73,106,37,0,0,0,12
Measured,prefill-16k.sstrace,1024,0,1,1024,10240,297,34.47811447811448,4.0,25.19999999999999,884,56,79,82,60,6,3,11
Measured,prefill-16k.sstrace,1024,1,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,2,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,1,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,3,1,1024,10240,191,53.61256544502618,3.0,472.0,967,62,54,47,15,2,0,11
Measured,prefill-16k.sstrace,1024,4,1,1024,10240,12,853.3333333333334,1024.0,1024.0,1024,1,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,5,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,6,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,1,10
Measured,prefill-16k.sstrace,1024,7,1,1024,10240,162,63.20987654320987,2.0,954.2999999999978,983,50,48,44,9,0,0,11
Measured,prefill-16k.sstrace,1024,8,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,0,0,0,11
Measured,prefill-16k.sstrace,1024,9,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,0,0,0,1,0,0,10
Measured,prefill-16k.sstrace,1024,10,1,1024,10240,11,930.9090909090909,1024.0,1024.0,1024,1,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,11,1,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,12,1,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,13,1,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,14,1,1024,10240,10,1024.0,1024.0,1024.0,1024,0,0,0,0,0,0,10
Measured,prefill-16k.sstrace,1024,15,1,1003,10030,182,55.10989010989011,2.0,503.19999999999936,960,59,55,42,14,0,0,12
Measured,prefill-16k.sstrace,1024,0,2,1024,10240,298,34.36241610738255,4.0,42.54999999999961,889,68,79,91,31,9,7,13
